

 Profile 2

MM-DD-YYYY HH:MM:SS,TmpC,Heading,Pitch,Roll,Beams,Beam1,Beam2,Beam3,Beam4,Vel1,Vel2,Vel3,Amp1,Amp2,Amp3

10-17-2015 03:36:31,12.4400,278.5000,0.8000,-0.1000,3,2,3,4,0,-0.17720,-0.12210,-0.25500,104,121,110
10-17-2015 03:36:31,12.4400,278.5000,0.8000,-0.1000,3,2,3,4,0,-0.22310,-0.11900,-0.23940,117,116,129
10-17-2015 03:36:32,12.4300,273.4000,1.0000,-1.2000,3,2,3,4,0,-0.22580,-0.14630,-0.24020,114,118,117
10-17-2015 03:36:32,12.4300,273.4000,1.0000,-1.2000,3,2,3,4,0,-0.20040,-0.09990,-0.24620,107,111,113
10-17-2015 03:36:33,12.4200,261.8000,1.2000,0.6000,3,2,3,4,0,-0.24830,-0.16700,-0.28230,109,122,111
10-17-2015 03:36:33,12.4200,261.8000,1.2000,0.6000,3,2,3,4,0,-0.19110,-0.15940,-0.30810,119,117,111
10-17-2015 03:36:34,12.4100,256.5000,0.5000,-1.7000,3,2,3,4,0,-0.21140,-0.16660,-0.32730,111,114,106
10-17-2015 03:36:34,12.4100,256.5000,0.5000,-1.7000,3,2,3,4,0,-0.24130,-0.20280,-0.33940,143,118,107
10-17-2015 03:36:35,12.4100,260.8000,0.1000,-1.8000,3,2,3,4,0,-0.21040,-0.25860,-0.32430,112,127,111
10-17-2015 03:36:35,12.4100,260.8000,0.1000,-1.8000,3,2,3,4,0,-0.22650,-0.26570,-0.34250,108,107,128
10-17-2015 03:36:36,12.4100,274.4000,0.5000,0.1000,3,2,3,4,0,-0.24920,-0.23860,-0.34130,120,143,114
10-17-2015 03:36:36,12.4100,274.4000,0.5000,0.1000,3,2,3,4,0,-0.16230,-0.14740,-0.29930,112,116,110
10-17-2015 03:36:37,12.4200,297.7000,-0.5000,-0.4000,3,2,3,4,0,-0.12190,-0.18250,-0.23520,120,124,109
10-17-2015 03:36:37,12.4200,297.7000,-0.5000,-0.4000,3,2,3,4,0,-0.22820,-0.14140,-0.16600,138,112,111
10-17-2015 03:36:38,12.4100,311.0000,0.7000,-2.1000,3,2,3,4,0,-0.20210,-0.14320,-0.20020,115,120,115
10-17-2015 03:36:38,12.4100,311.0000,0.7000,-2.1000,3,2,3,4,0,-0.18760,-0.14160,-0.17870,113,133,107
10-17-2015 03:36:39,12.4100,327.1000,1.2000,0.6000,3,2,3,4,0,-0.25310,-0.11100,-0.22370,116,114,136
10-17-2015 03:36:39,12.4100,327.1000,1.2000,0.6000,3,2,3,4,0,-0.17560,-0.09470,-0.19880,132,118,146
10-17-2015 03:36:40,12.4300,345.5000,-0.3000,3.5000,3,2,3,4,0,-0.16250,-0.10090,-0.17860,114,124,128
10-17-2015 03:36:40,12.4300,345.5000,-0.3000,3.5000,3,2,3,4,0,-0.18890,-0.09100,-0.07160,108,125,125
10-17-2015 03:36:41,12.4300,331.4000,-0.1000,1.2000,3,2,3,4,0,-0.20010,-0.07930,-0.04530,110,115,127
10-17-2015 03:36:41,12.4300,331.4000,-0.1000,1.2000,3,2,3,4,0,-0.22820,-0.06870,-0.06660,107,117,115
10-17-2015 03:36:42,12.4300,302.9000,2.0000,-0.8000,3,2,3,4,0,-0.23260,-0.06840,-0.15560,114,113,121
10-17-2015 03:36:42,12.4300,302.9000,2.0000,-0.8000,3,2,3,4,0,-0.25530,-0.09570,-0.21120,125,118,109
10-17-2015 03:36:43,12.4300,296.2000,0.4000,0.0000,3,2,3,4,0,-0.25920,-0.09520,-0.24630,127,115,108
10-17-2015 03:36:43,12.4300,296.2000,0.4000,0.0000,3,2,3,4,0,-0.24370,-0.18300,-0.23550,105,118,123
10-17-2015 03:36:44,12.4200,284.8000,0.6000,-0.2000,3,2,3,4,0,-0.25540,-0.20680,-0.24550,150,119,120
10-17-2015 03:36:44,12.4200,284.8000,0.6000,-0.2000,3,2,3,4,0,-0.18250,-0.17310,-0.24520,124,113,106
10-17-2015 03:36:45,12.4300,281.0000,0.9000,1.1000,3,2,3,4,0,-0.17220,-0.17480,-0.26460,123,122,118
