

 Profile 2

MM-DD-YYYY HH:MM:SS,Sndm/s,TmpC,Heading,Pitch,Roll,magnHx,magnHy,magnHz,Beams,Cells,Beam1,Beam2,Beam3,Beam4,Beam5,Vel1,Vel2,Vel3,Amp1,Amp2,Amp3,Corr1,Corr2,Corr3

10-17-2015 03:36:31.375,1500.0000,12.4400,278.5000,0.8000,-0.1000,16368,-31,389,3,1,2,3,4,0,0,-0.17720,-0.12210,-0.25500,104,121,110,094,099,090
10-17-2015 03:36:31.875,1500.0000,12.4400,278.5000,0.8000,-0.1000,16368,-31,389,3,1,2,3,4,0,0,-0.22310,-0.11900,-0.23940,117,116,129,098,097,098
10-17-2015 03:36:32.375,1500.0000,12.4300,273.4000,1.0000,-1.2000,16501,295,452,3,1,2,3,4,0,0,-0.22580,-0.14630,-0.24020,114,118,117,095,096,099
10-17-2015 03:36:32.875,1500.0000,12.4300,273.4000,1.0000,-1.2000,16501,295,452,3,1,2,3,4,0,0,-0.20040,-0.09990,-0.24620,107,111,113,089,084,084
10-17-2015 03:36:33.375,1500.0000,12.4200,261.8000,1.2000,0.6000,16527,-262,510,3,1,2,3,4,0,0,-0.24830,-0.16700,-0.28230,109,122,111,092,084,096
10-17-2015 03:36:33.875,1500.0000,12.4200,261.8000,1.2000,0.6000,16527,-262,510,3,1,2,3,4,0,0,-0.19110,-0.15940,-0.30810,119,117,111,094,087,094
10-17-2015 03:36:34.375,1500.0000,12.4100,256.5000,0.5000,-1.7000,16473,426,327,3,1,2,3,4,0,0,-0.21140,-0.16660,-0.32730,111,114,106,084,080,090
10-17-2015 03:36:34.875,1500.0000,12.4100,256.5000,0.5000,-1.7000,16473,426,327,3,1,2,3,4,0,0,-0.24130,-0.20280,-0.33940,143,118,107,098,098,092
10-17-2015 03:36:35.375,1500.0000,12.4100,260.8000,0.1000,-1.8000,16505,451,193,3,1,2,3,4,0,0,-0.21040,-0.25860,-0.32430,112,127,111,086,096,085
10-17-2015 03:36:35.875,1500.0000,12.4100,260.8000,0.1000,-1.8000,16505,451,193,3,1,2,3,4,0,0,-0.22650,-0.26570,-0.34250,108,107,128,094,080,094
10-17-2015 03:36:36.375,1500.0000,12.4100,274.4000,0.5000,0.1000,16651,-128,333,3,1,2,3,4,0,0,-0.24920,-0.23860,-0.34130,120,143,114,094,099,088
10-17-2015 03:36:36.875,1500.0000,12.4100,274.4000,0.5000,0.1000,16651,-128,333,3,1,2,3,4,0,0,-0.16230,-0.14740,-0.29930,112,116,110,097,090,090
10-17-2015 03:36:37.375,1500.0000,12.4200,297.7000,-0.5000,-0.4000,16475,65,12,3,1,2,3,4,0,0,-0.12190,-0.18250,-0.23520,120,124,109,098,098,091
10-17-2015 03:36:37.875,1500.0000,12.4200,297.7000,-0.5000,-0.4000,16475,65,12,3,1,2,3,4,0,0,-0.22820,-0.14140,-0.16600,138,112,111,099,091,097
10-17-2015 03:36:38.375,1500.0000,12.4100,311.0000,0.7000,-2.1000,16571,535,385,3,1,2,3,4,0,0,-0.20210,-0.14320,-0.20020,115,120,115,091,095,098
10-17-2015 03:36:38.875,1500.0000,12.4100,311.0000,0.7000,-2.1000,16571,535,385,3,1,2,3,4,0,0,-0.18760,-0.14160,-0.17870,113,133,107,096,100,092
10-17-2015 03:36:39.375,1500.0000,12.4100,327.1000,1.2000,0.6000,16549,-256,527,3,1,2,3,4,0,0,-0.25310,-0.11100,-0.22370,116,114,136,078,096,095
10-17-2015 03:36:39.875,1500.0000,12.4100,327.1000,1.2000,0.6000,16549,-256,527,3,1,2,3,4,0,0,-0.17560,-0.09470,-0.19880,132,118,146,097,096,096
10-17-2015 03:36:40.375,1500.0000,12.4300,345.5000,-0.3000,3.5000,16445,-1102,66,3,1,2,3,4,0,0,-0.16250,-0.10090,-0.17860,114,124,128,097,095,099
10-17-2015 03:36:40.875,1500.0000,12.4300,345.5000,-0.3000,3.5000,16445,-1102,66,3,1,2,3,4,0,0,-0.18890,-0.09100,-0.07160,108,125,125,080,094,099
10-17-2015 03:36:41.375,1500.0000,12.4300,331.4000,-0.1000,1.2000,16631,-430,110,3,1,2,3,4,0,0,-0.20010,-0.07930,-0.04530,110,115,127,092,095,098
10-17-2015 03:36:41.875,1500.0000,12.4300,331.4000,-0.1000,1.2000,16631,-430,110,3,1,2,3,4,0,0,-0.22820,-0.06870,-0.06660,107,117,115,081,095,084
