

 Profile 1

mmho/cm,Celsius,dbars,hz

33.4251,5.6325,499.620, 1223
33.4253,5.6326,499.620, 1230
33.4256,5.6329,499.620, 1236
33.4255,5.6329,499.620, 1240
33.4256,5.6327,499.610, 1242
33.4255,5.6327,499.610, 1243
33.4260,5.6330,499.610, 1244
33.4259,5.6332,499.610, 1245
33.4256,5.6329,499.610, 1246
33.4259,5.6329,499.610, 1246
33.4260,5.6329,499.610, 1246
33.4261,5.6335,499.610, 1246
33.4260,5.6335,499.600, 1246
33.4261,5.6333,499.610, 1247
33.4266,5.6339,499.610, 1247
33.4261,5.6333,499.610, 1247
33.4260,5.6333,499.600, 1247
33.4272,5.6343,499.610, 1247
33.4278,5.6349,499.610, 1247
33.4278,5.6348,499.610, 1247
33.4277,5.6353,499.610, 1247
33.4280,5.6350,499.610, 1247
33.4274,5.6346,499.600, 1247
33.4286,5.6356,499.610, 1247
33.4291,5.6367,499.610, 1247
33.4294,5.6369,499.600, 1247
33.4301,5.6373,499.600, 1247
33.4287,5.6362,499.600, 1248
33.4284,5.6357,499.600, 1247
33.4281,5.6354,499.600, 1247
33.4274,5.6346,499.590, 1248
33.4270,5.6343,499.590, 1247
33.4272,5.6339,499.600, 1247
33.4274,5.6344,499.600, 1247
33.4274,5.6344,499.590, 1247
33.4274,5.6344,499.590, 1247
33.4276,5.6344,499.590, 1248
33.4278,5.6354,499.600, 1247
33.4276,5.6346,499.590, 1247
33.4270,5.6344,499.590, 1247
33.4268,5.6336,499.590, 1247
33.4266,5.6338,499.590, 1247
33.4272,5.6340,499.590, 1247
33.4277,5.6345,499.590, 1247
33.4272,5.6343,499.590, 1248
33.4274,5.6345,499.580, 1247
33.4272,5.6344,499.580, 1247
33.4236,5.6296,499.580, 1247
33.4233,5.6298,499.580, 1247
33.4202,5.6260,499.580, 1247
33.4218,5.6268,499.580, 1247
33.4230,5.6288,499.580, 1247
33.4256,5.6321,499.580, 1247
33.4261,5.6334,499.580, 1247
33.4262,5.6338,499.590, 1248
33.4261,5.6338,499.580, 1248
33.4262,5.6335,499.590, 1248
33.4263,5.6338,499.580, 1248
33.4262,5.6333,499.580, 1248
33.4263,5.6333,499.580, 1248
33.4262,5.6334,499.580, 1248
33.4263,5.6334,499.580, 1248
33.4266,5.6338,499.580, 1248
33.4268,5.6340,499.580, 1248
33.4250,5.6324,499.580, 1248
33.4214,5.6273,499.570, 1248
33.4198,5.6251,499.570, 1248
33.4204,5.6257,499.570, 1248
33.4216,5.6273,499.570, 1247
33.4237,5.6298,499.560, 1247
33.4246,5.6315,499.570, 1247
33.4247,5.6319,499.570, 1248
33.4240,5.6310,499.570, 1247
33.4243,5.6310,499.570, 1247
33.4236,5.6298,499.570, 1248
33.4243,5.6311,499.560, 1248
33.4238,5.6306,499.570, 1248
33.4233,5.6300,499.560, 1248
33.4230,5.6298,499.550, 1248
33.4237,5.6304,499.560, 1248
33.4234,5.6305,499.560, 1248
33.4232,5.6299,499.560, 1248
33.4231,5.6296,499.560, 1248
33.4198,5.6247,499.560, 1248
33.4195,5.6247,499.560, 1248
33.4200,5.6251,499.550, 1247
33.4237,5.6295,499.550, 1248
33.4200,5.6258,499.550, 1248
33.4235,5.6297,499.560, 1247
33.4202,5.6268,499.560, 1247
33.4202,5.6261,499.550, 1247
33.4246,5.6307,499.560, 1246
33.4237,5.6311,499.550, 1247
33.4254,5.6319,499.550, 1247
33.4251,5.6323,499.550, 1247
33.4264,5.6336,499.560, 1247
33.4261,5.6337,499.550, 1247
33.4262,5.6329,499.550, 1247
33.4272,5.6343,499.550, 1247
33.4264,5.6337,499.550, 1247
33.4265,5.6340,499.550, 1247
33.4262,5.6335,499.550, 1248
33.4261,5.6333,499.550, 1248
33.4258,5.6329,499.550, 1248
33.4249,5.6312,499.550, 1248
33.4250,5.6319,499.550, 1248
33.4276,5.6344,499.550, 1248
33.4272,5.6346,499.540, 1248
33.4278,5.6353,499.550, 1248
33.4270,5.6344,499.550, 1248
33.4272,5.6347,499.550, 1248
33.4272,5.6349,499.550, 1248
33.4301,5.6371,499.550, 1248
33.4307,5.6383,499.540, 1248
33.4277,5.6359,499.550, 1248
33.4274,5.6342,499.540, 1248
33.4266,5.6335,499.520, 1248
33.4270,5.6338,499.480, 1248
33.4262,5.6329,499.410, 1248
33.4265,5.6342,499.330, 1248
33.4262,5.6337,499.240, 1248
33.4265,5.6341,499.090, 1248
33.4297,5.6375,498.920, 1248
33.4286,5.6358,498.730, 1248
33.4292,5.6365,498.520, 1248
33.4288,5.6372,498.310, 1248
33.4299,5.6382,498.070, 1248
33.4315,5.6401,497.810, 1248
33.4311,5.6401,497.560, 1248
33.4342,5.6427,497.300, 1248
33.4409,5.6513,497.040, 1248
33.4447,5.6572,496.770, 1249
33.4447,5.6587,496.480, 1249
33.4473,5.6606,496.210, 1250
33.4583,5.6737,495.930, 1250
33.4620,5.6804,495.650, 1251
33.4634,5.6824,495.360, 1252
33.4640,5.6836,495.070, 1253
33.4641,5.6835,494.790, 1255
33.4650,5.6848,494.500, 1256
33.4658,5.6852,494.210, 1257
33.4671,5.6871,493.910, 1258
33.4684,5.6887,493.620, 1259
33.4711,5.6921,493.320, 1259
33.4733,5.6959,493.020, 1260
33.4746,5.6974,492.720, 1261
33.4761,5.6996,492.430, 1261
33.4775,5.7011,492.130, 1263
33.4785,5.7025,491.840, 1263
33.4793,5.7043,491.540, 1264
33.4789,5.7038,491.250, 1265
33.4811,5.7063,490.950, 1266
33.4820,5.7078,490.650, 1266
33.4833,5.7097,490.350, 1266
33.4828,5.7098,490.060, 1267
33.4831,5.7098,489.760, 1268
33.4847,5.7121,489.460, 1268
33.4882,5.7161,489.170, 1269
33.4873,5.7160,488.870, 1269
33.4882,5.7168,488.570, 1270
33.4881,5.7172,488.270, 1270
33.4877,5.7163,487.980, 1271
33.4873,5.7161,487.680, 1271
33.4875,5.7157,487.380, 1272
33.4875,5.7162,487.090, 1272
33.4877,5.7161,486.790, 1272
33.4892,5.7181,486.480, 1272
33.4893,5.7189,486.190, 1272
33.4903,5.7201,485.900, 1272
33.4919,5.7224,485.600, 1272
33.4921,5.7228,485.300, 1273
33.4925,5.7230,485.000, 1273
33.4929,5.7244,484.710, 1273
33.4933,5.7247,484.410, 1274
33.4945,5.7261,484.120, 1274
33.4948,5.7265,483.820, 1274
33.4948,5.7271,483.530, 1274
33.4944,5.7264,483.230, 1275
33.4923,5.7241,482.930, 1275
33.4972,5.7290,482.640, 1275
33.4996,5.7336,482.350, 1275
33.4999,5.7344,482.050, 1275
33.5000,5.7344,481.740, 1275
33.5001,5.7347,481.450, 1276
33.4998,5.7343,481.160, 1277
33.4996,5.7343,480.860, 1276
33.4993,5.7340,480.560, 1277
33.4992,5.7341,480.270, 1277
33.4997,5.7344,479.960, 1277
33.4996,5.7349,479.670, 1277
33.4998,5.7351,479.380, 1278
33.4999,5.7352,479.080, 1278
33.5000,5.7352,478.790, 1278
33.5003,5.7355,478.490, 1278
33.5004,5.7361,478.200, 1278
33.5046,5.7400,477.910, 1278
33.5071,5.7450,477.610, 1278
33.5090,5.7481,477.310, 1279
33.5135,5.7528,477.020, 1279
33.5161,5.7572,476.720, 1280
33.5169,5.7582,476.430, 1281
33.5177,5.7595,476.130, 1282
33.5179,5.7597,475.840, 1282
33.5202,5.7624,475.540, 1283
33.5211,5.7643,475.250, 1284
33.5221,5.7654,474.950, 1284
33.5245,5.7676,474.650, 1285
33.5260,5.7702,474.350, 1285
33.5284,5.7731,474.060, 1286
33.5403,5.7859,473.770, 1286
33.5453,5.7965,473.470, 1288
33.5478,5.7983,473.180, 1289
33.5594,5.8129,472.880, 1290
33.5610,5.8169,472.590, 1292
33.5636,5.8193,472.280, 1294
33.5651,5.8222,471.990, 1296
33.5663,5.8235,471.700, 1298
33.5663,5.8235,471.400, 1299
33.5663,5.8235,471.110, 1301
33.5657,5.8225,470.810, 1302
33.5665,5.8229,470.520, 1302
33.5689,5.8260,470.220, 1303
33.5703,5.8283,469.920, 1303
33.5710,5.8290,469.630, 1304
33.5762,5.8334,469.340, 1304
33.5788,5.8387,469.040, 1305
33.5851,5.8450,468.750, 1305
33.5883,5.8511,468.450, 1307
33.5895,5.8534,468.160, 1307
33.5901,5.8536,467.870, 1308
33.5905,5.8540,467.570, 1309
33.5907,5.8544,467.280, 1310
33.5907,5.8541,466.990, 1311
33.5905,5.8541,466.690, 1312
33.5907,5.8542,466.390, 1312
33.5911,5.8549,466.100, 1313
33.5911,5.8548,465.810, 1313
33.5913,5.8551,465.510, 1313
33.5909,5.8546,465.230, 1314
33.5943,5.8585,464.930, 1313
33.5949,5.8604,464.630, 1314
33.5952,5.8608,464.340, 1314
33.5965,5.8622,464.050, 1314
33.5961,5.8619,463.750, 1315
33.5949,5.8615,463.460, 1315
33.5952,5.8621,463.170, 1316
33.5959,5.8625,462.880, 1316
33.5963,5.8635,462.580, 1316
33.5965,5.8633,462.290, 1317
33.5965,5.8638,462.000, 1317
33.5965,5.8641,461.700, 1317
33.5967,5.8644,461.400, 1318
33.5947,5.8621,461.120, 1318
33.5945,5.8616,460.820, 1318
