
 Profile 1

 Sensors were turned on at  10/17/2015 03:00:02
 Vehicle began profiling at 10/17/2015 03:02:01

Date,[mA],[V],[dbar],Par[mV],scatSig,chlSig,CDOMSig
10/17/2015 03:02:02,0,11.8,0.000,0.00,142,54,75
10/17/2015 03:02:07,163,11.6,0.000,0.00,131,54,73
10/17/2015 03:02:12,292,11.6,0.000,0.00,146,54,73
10/17/2015 03:02:17,206,11.6,0.000,0.00,166,54,75
10/17/2015 03:02:22,144,11.6,0.000,0.00,135,54,75
10/17/2015 03:02:27,146,11.6,0.000,0.00,158,55,74
10/17/2015 03:02:34,177,11.6,493.320,0.00,158,53,75
10/17/2015 03:02:40,108,11.6,491.840,0.00,145,55,75
10/17/2015 03:02:45,148,11.6,490.360,0.00,136,53,72
10/17/2015 03:02:50,87,11.6,488.870,0.00,142,54,74
10/17/2015 03:02:55,147,11.6,487.380,0.00,131,52,74
10/17/2015 03:03:00,94,11.6,485.900,0.00,130,55,73
10/17/2015 03:03:05,130,11.6,484.420,0.00,141,53,74
10/17/2015 03:03:10,109,11.6,482.940,0.00,148,51,74
10/17/2015 03:03:15,119,11.6,481.460,0.00,143,56,72
10/17/2015 03:03:20,111,11.6,479.970,0.00,148,54,72
10/17/2015 03:03:25,136,11.6,478.500,0.00,142,53,73
10/17/2015 03:03:30,130,11.6,477.030,0.00,166,55,74
10/17/2015 03:03:35,108,11.6,475.550,0.00,131,53,74
10/17/2015 03:03:40,159,11.5,474.070,0.00,181,54,73
10/17/2015 03:03:45,67,11.6,472.590,0.00,131,53,74
10/17/2015 03:03:50,155,11.5,471.110,0.00,134,52,74
10/17/2015 03:03:55,91,11.6,469.640,0.00,131,53,74
10/17/2015 03:04:00,150,11.5,468.160,0.00,145,56,73
10/17/2015 03:04:05,82,11.6,466.700,0.00,133,56,74
10/17/2015 03:04:10,167,11.5,465.230,0.00,127,56,75
10/17/2015 03:04:15,60,11.6,463.760,0.00,124,55,76
10/17/2015 03:04:20,198,11.5,462.290,0.00,126,53,74
10/17/2015 03:04:25,45,11.6,460.820,0.00,175,54,71
10/17/2015 03:04:30,157,11.5,459.360,0.00,125,54,73
10/17/2015 03:04:35,87,11.5,457.890,0.00,187,54,72
10/17/2015 03:04:40,139,11.5,456.430,0.00,121,55,75
10/17/2015 03:04:45,151,11.5,454.970,0.00,313,53,75
10/17/2015 03:04:50,181,11.5,453.500,0.00,122,52,73
10/17/2015 03:04:55,53,11.5,452.040,0.00,122,53,74
10/17/2015 03:05:00,156,11.5,450.580,0.00,125,51,75
10/17/2015 03:05:05,128,11.5,449.120,0.00,120,54,74
10/17/2015 03:05:10,71,11.5,447.660,0.00,147,55,74
10/17/2015 03:05:15,116,11.4,446.200,0.00,127,55,74
10/17/2015 03:05:20,186,11.4,444.750,0.00,127,54,73
10/17/2015 03:05:25,38,11.5,443.300,0.00,127,53,72
10/17/2015 03:05:30,144,11.4,441.820,0.00,128,54,72
10/17/2015 03:05:35,108,11.5,440.370,0.00,134,53,72
10/17/2015 03:05:40,143,11.4,438.910,0.00,148,53,75
10/17/2015 03:05:45,67,11.5,437.450,0.00,128,54,73
10/17/2015 03:05:50,163,11.4,435.990,0.00,135,54,73
10/17/2015 03:05:55,52,11.5,434.540,0.00,133,52,74
10/17/2015 03:06:00,122,11.4,433.060,0.00,147,50,75
10/17/2015 03:06:05,162,11.4,431.620,0.00,168,53,72
10/17/2015 03:06:10,22,11.5,430.150,0.00,143,54,73
10/17/2015 03:06:15,247,11.3,428.680,0.00,131,50,72
10/17/2015 03:06:20,7,11.5,427.220,0.00,153,52,74
10/17/2015 03:06:25,123,11.4,425.760,0.00,136,54,70
10/17/2015 03:06:30,85,11.4,424.300,0.00,150,54,73
10/17/2015 03:06:35,100,11.4,422.850,0.00,131,52,74
10/17/2015 03:06:40,194,11.3,421.400,0.00,139,53,74
10/17/2015 03:06:45,30,11.4,419.930,0.00,144,52,77
10/17/2015 03:06:50,170,11.3,418.480,0.00,145,56,73
10/17/2015 03:06:55,47,11.4,417.020,0.00,138,54,71
10/17/2015 03:07:00,207,11.3,415.560,0.00,134,55,75
10/17/2015 03:07:05,79,11.4,414.120,0.00,136,53,70
10/17/2015 03:07:10,93,11.4,412.660,0.00,124,55,73
10/17/2015 03:07:15,101,11.4,411.210,0.00,127,55,73
10/17/2015 03:07:20,63,11.4,409.750,0.00,137,54,74
10/17/2015 03:07:25,163,11.3,408.300,0.00,125,55,71
10/17/2015 03:07:30,31,11.4,406.860,0.00,123,53,72
10/17/2015 03:07:35,144,11.3,405.400,0.00,134,52,72
10/17/2015 03:07:40,156,11.3,403.940,0.00,126,54,74
10/17/2015 03:07:45,13,11.4,402.500,0.00,213,55,73
10/17/2015 03:07:50,145,11.3,401.040,0.00,134,55,73
10/17/2015 03:07:55,34,11.4,399.610,0.00,129,53,73
10/17/2015 03:08:00,195,11.3,398.140,0.00,127,53,73
10/17/2015 03:08:05,14,11.4,396.700,0.00,156,55,74
10/17/2015 03:08:10,191,11.3,395.200,0.00,123,55,71
10/17/2015 03:08:15,36,11.4,393.770,0.00,131,53,71
10/17/2015 03:08:20,141,11.3,392.310,0.00,126,54,71
10/17/2015 03:08:25,136,11.3,390.880,0.00,134,52,72
10/17/2015 03:08:30,37,11.3,389.410,0.00,133,55,74
