Sample rate: 2.0000 Hz


 Profile 2

   MM-DD-YYYY HH:MM:SS     HDNG       TX       TY        HX        HY        HZ      VPAB      VPCD      VPEF      VPGH

   06-11-2018 00:00:17   235.08    -0.87     0.00   -0.1541   -0.2415   -0.9581    -13.39     -1.47     20.78     -3.24
   06-11-2018 00:00:42   240.38     0.13    -0.32   -0.1456   -0.2467   -0.9581      1.81     -4.17     20.94     -3.16
   06-11-2018 00:01:07   235.37     0.13    -0.65   -0.1698   -0.2318   -0.9578     12.93    -14.36      4.34    -12.89
   06-11-2018 00:01:32   231.79     0.13    -0.65   -0.1840   -0.2201   -0.9580     16.28    -13.74     11.84    -11.90
   06-11-2018 00:01:57   237.85     0.45    -0.32   -0.1604   -0.2376   -0.9580     15.50    -14.90     14.96    -12.52
   06-11-2018 00:02:22   247.18     0.13     0.00   -0.1130   -0.2632   -0.9581     17.10     -4.76     17.33    -12.39
   06-11-2018 00:02:47   239.69    -0.19     0.32   -0.1395   -0.2496   -0.9582     23.09      0.05     10.72    -24.23
   06-11-2018 00:03:12   245.66    -0.19     0.00   -0.1151   -0.2615   -0.9583     24.44     -0.24      9.82    -23.41
   06-11-2018 00:03:37   250.24    -0.19     0.00   -0.0946   -0.2724   -0.9575     24.62      0.02     10.13    -25.63
   06-11-2018 00:04:02   241.49    -0.19    -0.65   -0.1378   -0.2487   -0.9587     18.73     -0.99     16.01    -13.42
   06-11-2018 00:04:27   255.31     0.13     0.00   -0.0750   -0.2778   -0.9577     17.94     -0.65     18.01    -12.40
   06-11-2018 00:04:52   247.18    -0.03    -0.16   -0.1105   -0.2611   -0.9590     28.53     -1.56      7.58    -25.81
   06-11-2018 00:05:17   240.64     0.13    -0.16   -0.1415   -0.2450   -0.9591     23.18     -0.48     12.69    -17.97
   06-11-2018 00:05:42   252.63     0.29    -0.32   -0.0915   -0.2714   -0.9581     23.96     -2.73     14.29    -21.82
   06-11-2018 00:06:07   252.24     0.45     0.49   -0.0912   -0.2693   -0.9587     25.12     -2.86     14.12    -24.41
   06-11-2018 00:06:32   242.35     0.13     0.32   -0.1316   -0.2525   -0.9586     24.84     -2.13     12.25    -23.07
   06-11-2018 00:06:57   247.66     0.13    -0.65   -0.1139   -0.2610   -0.9586     26.85     -3.02     10.96    -22.81
   06-11-2018 00:07:22   239.64     0.13    -0.65   -0.1502   -0.2419   -0.9586     27.01     -1.26      7.34    -26.50
   06-11-2018 00:07:47   253.40     0.45    -0.16   -0.0904   -0.2750   -0.9572     22.61     -1.77     13.44    -20.85
   06-11-2018 00:08:12   242.28     0.45     0.32   -0.1349   -0.2477   -0.9594     27.07     -1.53      8.20    -25.71
   06-11-2018 00:08:37   262.01     0.78     0.32   -0.0521   -0.2839   -0.9574     22.32     -2.05     13.58    -21.39
   06-11-2018 00:09:02   246.27     0.29    -0.65   -0.1220   -0.2554   -0.9591     18.36     -0.66     14.97    -16.08
   06-11-2018 00:09:27   245.19     0.78     0.32   -0.1287   -0.2556   -0.9582     18.95      1.11     11.77    -23.01
   06-11-2018 00:09:52   255.23     0.78     0.00   -0.0855   -0.2751   -0.9576     20.21      0.28     11.37    -22.08
   06-11-2018 00:10:17   253.12     0.62     0.00   -0.0923   -0.2701   -0.9584     21.78     -1.65     11.79    -20.03
   06-11-2018 00:10:42   255.27     0.78     0.32   -0.0833   -0.2727   -0.9585     20.92      0.15     10.59    -24.41
   06-11-2018 00:11:07   253.37     0.78    -0.49   -0.0963   -0.2708   -0.9578     19.67      0.15     11.34    -18.83
   06-11-2018 00:11:32   256.14     0.45    -1.62   -0.0819   -0.2741   -0.9582     16.91      0.19     13.39    -19.74
   06-11-2018 00:11:57   255.69     0.78     0.32   -0.0821   -0.2763   -0.9576     20.32      0.71      9.62    -19.67
   06-11-2018 00:12:22   256.58     0.45    -0.97   -0.0774   -0.2763   -0.9580     16.61     -0.28     14.07    -14.84
   06-11-2018 00:12:47   253.31     0.78    -1.30   -0.1003   -0.2696   -0.9577     16.62      0.76     11.61    -20.02
   06-11-2018 00:13:12   256.80     0.78    -0.97   -0.0815   -0.2761   -0.9577     17.04      0.53     10.95    -19.11
   06-11-2018 00:13:37   251.73     0.78    -0.65   -0.1047   -0.2669   -0.9580     16.93      0.22     12.35    -17.97
   06-11-2018 00:14:02   250.70     1.10    -0.65   -0.1143   -0.2631   -0.9580     19.82      1.32      7.53    -22.00
   06-11-2018 00:14:27   256.93     1.10    -0.32   -0.0828   -0.2716   -0.9588     16.75      1.20     10.09    -23.05
   06-11-2018 00:14:52   252.64     1.10     0.00   -0.1021   -0.2676   -0.9581     17.97      0.61      8.94    -20.74
   06-11-2018 00:15:17   251.34     1.10     0.00   -0.1078   -0.2647   -0.9583     17.10      1.04     10.94    -21.40
   06-11-2018 00:15:42   249.22     1.10    -0.32   -0.1201   -0.2625   -0.9574     20.15      1.18      7.51    -24.61
   06-11-2018 00:16:07   255.95     0.94    -0.16   -0.0854   -0.2755   -0.9575     16.11      0.73     11.33    -23.26
   06-11-2018 00:16:32   254.44     1.10     0.00   -0.0930   -0.2676   -0.9590     18.94      0.14     10.09    -21.89
   06-11-2018 00:16:57   257.20     1.10     0.32   -0.0788   -0.2711   -0.9593     21.00      0.28      8.06    -22.57
   06-11-2018 00:17:22   253.72     0.78    -1.62   -0.0988   -0.2670   -0.9586     14.93      1.27     11.61    -20.02
   06-11-2018 00:17:47   259.35     1.10    -0.49   -0.0720   -0.2770   -0.9582     16.31      1.12     10.28    -22.88
   06-11-2018 00:18:12   264.17     1.26     0.65   -0.0488   -0.2816   -0.9583     15.76      0.93      8.59    -19.15
   06-11-2018 00:18:37   266.23     0.78    -0.65   -0.0324   -0.2835   -0.9584     10.87      2.42     13.68    -21.00
   06-11-2018 00:19:02   265.34     1.43     0.65   -0.0461   -0.2836   -0.9578     14.97      2.07      9.92    -22.57
   06-11-2018 00:19:27   261.00     1.43     0.16   -0.0679   -0.2807   -0.9574     16.37      1.38      8.54    -23.76
   06-11-2018 00:19:52   262.02     1.43     0.00   -0.0634   -0.2819   -0.9574     15.00      0.94     10.77    -19.37
   06-11-2018 00:20:17   249.77     1.43     0.00   -0.1202   -0.2614   -0.9577     15.37      1.82      9.99    -21.39
   06-11-2018 00:20:42   251.32     1.43     0.16   -0.1119   -0.2629   -0.9583     18.13      0.84      8.99    -20.38
   06-11-2018 00:21:07   249.98     1.43     0.00   -0.1181   -0.2585   -0.9588     18.06      0.40      9.09    -20.66
   06-11-2018 00:21:32   254.25     1.10    -0.65   -0.0974   -0.2690   -0.9582     14.69     -0.20     13.44    -21.39
   06-11-2018 00:21:57   249.24     1.10    -1.30   -0.1237   -0.2562   -0.9587     19.52     -1.08     10.04    -23.79
   06-11-2018 00:22:22   251.04     1.43    -0.32   -0.1154   -0.2610   -0.9584     16.33     -1.55     12.14    -19.71
   06-11-2018 00:22:47   251.73     1.26    -0.97   -0.1133   -0.2632   -0.9581     17.95      1.16      6.49    -25.38
   06-11-2018 00:23:12   253.04     1.26    -0.81   -0.1058   -0.2640   -0.9587     14.79      0.27     12.14    -20.53
   06-11-2018 00:23:37   260.02     1.75     0.32   -0.0767   -0.2748   -0.9584     14.40      0.49     12.21    -18.02
   06-11-2018 00:24:02   268.39     1.10    -0.65   -0.0269   -0.2904   -0.9565     15.97     -0.34     11.58    -21.45
   06-11-2018 00:24:27   281.23     1.43     0.97    0.0308   -0.2915   -0.9561     13.33      1.08     12.34    -21.68
   06-11-2018 00:24:52   277.30     1.43     1.14    0.0110   -0.2912   -0.9566     12.91      2.02     10.79    -21.15
   06-11-2018 00:25:17   284.23     1.26     0.65    0.0488   -0.2867   -0.9568     11.20      2.07     12.86    -21.25
   06-11-2018 00:25:42   285.22     1.43     0.65    0.0521   -0.2898   -0.9557     11.15      2.55     11.48    -21.97
   06-11-2018 00:26:07   275.22     1.43     0.49    0.0018   -0.2890   -0.9573     14.33      3.13      7.43    -22.60
   06-11-2018 00:26:32   284.32     1.43     1.30    0.0442   -0.2882   -0.9565     10.55      3.77      9.22    -21.73
   06-11-2018 00:26:57   279.55     1.59     0.97    0.0192   -0.2882   -0.9574     13.05      3.86      7.34    -22.08
   06-11-2018 00:27:22   274.09     1.75     0.49   -0.0093   -0.2870   -0.9579      9.90      4.68      8.97    -19.04
   06-11-2018 00:27:47   271.65     1.75     0.32   -0.0210   -0.2910   -0.9565     10.18      4.76      8.81    -19.33
   06-11-2018 00:28:12   279.40     1.43     0.32    0.0229   -0.2876   -0.9575      9.12      4.71      8.14    -19.43
   06-11-2018 00:28:37   285.36     1.59     1.30    0.0462   -0.2869   -0.9569     11.03      4.23      9.30    -20.37
   06-11-2018 00:29:02   287.16     1.43     1.62    0.0563   -0.2867   -0.9564      9.04      4.96      9.27    -17.39
   06-11-2018 00:29:27   292.81     1.43     0.97    0.0851   -0.2754   -0.9575      7.20      5.53      9.14    -17.18
   06-11-2018 00:29:52   303.80     1.10     1.95    0.1337   -0.2599   -0.9563      5.80      6.56      9.27    -15.61
   06-11-2018 00:30:17   298.26     1.43     1.95    0.1070   -0.2760   -0.9552      8.00      7.10      6.31    -15.43
   06-11-2018 00:30:42   288.08     1.75     1.62    0.0555   -0.2867   -0.9564      6.47      7.71      6.70    -13.28
   06-11-2018 00:31:07   280.91     1.75     0.65    0.0250   -0.2919   -0.9561      6.44      7.96      5.34    -12.88
   06-11-2018 00:31:32   268.47     1.75    -0.97   -0.0372   -0.2856   -0.9576      5.95      7.99      5.20    -14.59
   06-11-2018 00:31:57   265.17     1.75     0.16   -0.0530   -0.2835   -0.9575      7.75      6.70      7.98    -14.19
   06-11-2018 00:32:22   263.00     1.75     0.00   -0.0634   -0.2781   -0.9585      5.90      6.74      8.53    -13.48
   06-11-2018 00:32:47   247.87     1.75    -0.97   -0.1376   -0.2503   -0.9583      7.70      6.63      6.94    -17.23
   06-11-2018 00:33:12   248.48     1.75    -0.81   -0.1347   -0.2539   -0.9578      6.72      6.19      9.22    -17.34
   06-11-2018 00:33:37   257.40     2.07     0.00   -0.0955   -0.2723   -0.9575     10.84      6.01      7.32    -15.96
   06-11-2018 00:34:02   269.98     1.75     0.00   -0.0293   -0.2887   -0.9570      8.50      5.70      9.11    -16.82
   06-11-2018 00:34:27   267.73     1.75    -0.16   -0.0406   -0.2829   -0.9583      8.84      6.18      6.18    -19.07
   06-11-2018 00:34:52   278.88     1.75     0.32    0.0155   -0.2916   -0.9564      9.47      5.46      6.85    -18.17
   06-11-2018 00:35:17   279.90     1.75     0.32    0.0204   -0.2895   -0.9569      7.77      5.63      9.13    -17.17
   06-11-2018 00:35:42   279.58     1.75     0.32    0.0188   -0.2899   -0.9569      9.42      5.90      7.60    -17.11
   06-11-2018 00:36:07   282.52     1.59     1.14    0.0336   -0.2897   -0.9565      9.25      5.48      8.58    -18.25
   06-11-2018 00:36:32   285.00     1.75     0.97    0.0431   -0.2863   -0.9572     10.50      5.27      7.61    -18.21
   06-11-2018 00:36:57   288.39     1.43     1.30    0.0648   -0.2884   -0.9553     10.50      4.30      9.43    -19.94
