

 Profile 1

  mmho/cm   Celsius     dbars    hz

  31.4649    1.7764  2558.510      0
  31.4651    1.7766  2558.500      0
  31.4653    1.7768  2558.500      0
  31.4661    1.7776  2558.580      0
  31.4655    1.7773  2558.650      0
  31.4675    1.7789  2558.490      0
  31.4679    1.7804  2558.450      0
  31.4653    1.7775  2558.630      0
  31.4653    1.7767  2558.530      0
  31.4653    1.7771  2558.480      0
  31.4663    1.7774  2558.540      0
  31.4659    1.7784  2558.590      0
  31.4661    1.7776  2558.620      0
  31.4661    1.7779  2558.580      0
  31.4657    1.7774  2558.470      0
  31.4655    1.7771  2558.500      0
  31.4653    1.7769  2558.490      0
  31.4657    1.7771  2558.520      0
  31.4653    1.7772  2558.560      0
  31.4651    1.7768  2558.610      0
  31.4649    1.7766  2558.630      0
  31.4651    1.7765  2558.570      0
  31.4643    1.7760  2558.590      0
  31.4651    1.7763  2558.530      0
  31.4651    1.7765  2558.510      0
  31.4661    1.7783  2558.530      0
  31.4649    1.7769  2558.530      0
  31.4645    1.7763  2558.560      0
  31.4645    1.7759  2558.570      0
  31.4646    1.7761  2558.620      0
  31.4647    1.7761  2558.600      0
  31.4644    1.7758  2558.610      0
  31.4643    1.7759  2558.580      0
  31.4649    1.7764  2558.560      0
  31.4639    1.7756  2558.520      0
  31.4647    1.7763  2558.600      0
  31.4644    1.7756  2558.460      0
  31.4646    1.7760  2558.540      0
  31.4651    1.7767  2558.460      0
  31.4643    1.7758  2558.510      0
  31.4647    1.7761  2558.470      0
  31.4653    1.7772  2558.490      0
  31.4653    1.7768  2558.490      0
  31.4657    1.7774  2558.460      0
  31.4659    1.7783  2558.530      0
  31.4680    1.7802  2558.510      0
  31.4678    1.7806  2558.470      0
  31.4647    1.7772  2558.580      0
  31.4635    1.7744  2558.560      0
  31.4631    1.7744  2558.560      0
  31.4629    1.7738  2558.590      0
  31.4636    1.7745  2558.620      0
  31.4630    1.7742  2558.580      0
  31.4632    1.7745  2558.600      0
  31.4631    1.7741  2558.600      0
  31.4631    1.7742  2558.580      0
  31.4634    1.7749  2558.530      0
  31.4634    1.7747  2558.550      0
  31.4636    1.7749  2558.550      0
  31.4637    1.7751  2558.480      0
  31.4645    1.7757  2558.450      0
  31.4644    1.7759  2558.440      0
  31.4646    1.7759  2558.450      0
  31.4636    1.7753  2558.560      0
  31.4629    1.7744  2558.520      0
  31.4631    1.7744  2558.560      0
  31.4634    1.7750  2558.570      0
  31.4642    1.7755  2558.560      0
  31.4638    1.7749  2558.520      0
  31.4640    1.7754  2558.560      0
  31.4631    1.7748  2558.460      0
  31.4631    1.7744  2558.560      0
  31.4632    1.7743  2558.530      0
  31.4634    1.7745  2558.570      0
  31.4630    1.7745  2558.480      0
  31.4637    1.7746  2558.480      0
  31.4645    1.7760  2558.450      0
  31.4646    1.7765  2558.500      0
  31.4646    1.7762  2558.540      0
  31.4644    1.7760  2558.560      0
  31.4633    1.7748  2558.600      0
  31.4635    1.7748  2558.490      0
  31.4638    1.7749  2558.470      0
  31.4638    1.7753  2558.440      0
  31.4638    1.7753  2558.490      0
  31.4637    1.7750  2558.610      0
  31.4639    1.7755  2558.510      0
  31.4640    1.7754  2558.480      0
  31.4638    1.7755  2558.490      0
  31.4640    1.7756  2558.520      0
  31.4638    1.7753  2558.540      0
  31.4639    1.7755  2558.650      0
  31.4639    1.7755  2558.500      0
  31.4642    1.7758  2558.490      0
  31.4642    1.7756  2558.490      0
  31.4642    1.7756  2558.440      0
  31.4643    1.7758  2558.530      0
  31.4641    1.7758  2558.510      0
  31.4647    1.7760  2558.580      0
  31.4640    1.7756  2558.570      0
  31.4642    1.7755  2558.480      0
  31.4643    1.7757  2558.480      0
  31.4645    1.7762  2558.570      0
  31.4642    1.7758  2558.610      0
  31.4619    1.7733  2558.570      0
  31.4644    1.7754  2558.590      0
  31.4639    1.7755  2558.520      0
  31.4649    1.7763  2558.520      0
  31.4632    1.7749  2558.510      0
  31.4628    1.7738  2558.450      0
  31.4628    1.7736  2558.430      0
  31.4620    1.7729  2558.450      0
  31.4623    1.7733  2558.480      0
  31.4625    1.7737  2558.470      0
  31.4628    1.7737  2558.490      0
  31.4626    1.7741  2558.490      0
  31.4624    1.7736  2558.500      0
  31.4623    1.7736  2558.520      0
  31.4625    1.7736  2558.530      0
  31.4634    1.7744  2558.390      0
  31.4646    1.7764  2558.350      0
  31.4638    1.7758  2558.260      0
  31.4641    1.7754  2558.240      0
  31.4651    1.7765  2558.080      0
  31.4655    1.7779  2557.960      0
  31.4659    1.7784  2557.720      0
  31.4653    1.7776  2557.520      0
  31.4653    1.7775  2557.390      0
  31.4651    1.7777  2557.200      0
  31.4647    1.7773  2556.890      0
  31.4661    1.7783  2556.650      0
  31.4665    1.7789  2556.510      0
  31.4669    1.7800  2556.280      0
  31.4708    1.7846  2555.910      0
  31.4708    1.7853  2555.660      0
  31.4730    1.7876  2555.580      0
  31.4736    1.7891  2555.330      0
  31.4744    1.7901  2554.950      0
  31.4750    1.7908  2554.720      0
  31.4744    1.7907  2554.590      0
  31.4764    1.7929  2554.200      0
  31.4773    1.7939  2553.780      0
  31.4777    1.7946  2553.560      0
  31.4782    1.7952  2553.280      0
  31.4786    1.7958  2553.030      0
  31.4794    1.7969  2552.640      0
  31.4804    1.7983  2552.340      0
  31.4813    1.7999  2552.140      0
  31.4819    1.8006  2551.860      0
  31.4827    1.8016  2551.480      0
  31.4831    1.8026  2551.170      0
  31.4837    1.8034  2550.960      0
  31.4842    1.8039  2550.660      0
  31.4848    1.8045  2550.260      0
  31.4850    1.8052  2550.020      0
  31.4854    1.8059  2549.810      0
  31.4853    1.8056  2549.450      0
  31.4861    1.8065  2549.080      0
  31.4860    1.8071  2548.850      0
  31.4860    1.8068  2548.610      0
  31.4860    1.8069  2548.310      0
  31.4864    1.8075  2547.980      0
  31.4869    1.8085  2547.630      0
  31.4869    1.8086  2547.450      0
  31.4871    1.8087  2547.150      0
  31.4871    1.8089  2546.810      0
  31.4869    1.8091  2546.500      0
  31.4875    1.8097  2546.270      0
  31.4875    1.8102  2545.980      0
  31.4881    1.8104  2545.590      0
  31.4885    1.8113  2545.320      0
  31.4900    1.8132  2545.000      0
  31.4919    1.8159  2544.840      0
  31.4925    1.8175  2544.470      0
  31.4942    1.8195  2544.100      0
  31.4948    1.8206  2543.810      0
  31.4950    1.8211  2543.520      0
  31.4950    1.8211  2543.230      0
  31.4950    1.8209  2543.010      0
  31.4950    1.8212  2542.760      0
  31.4952    1.8215  2542.490      0
  31.4954    1.8218  2542.150      0
  31.4956    1.8218  2541.810      0
  31.4960    1.8225  2541.450      0
  31.4962    1.8232  2541.190      0
  31.4964    1.8235  2540.960      0
  31.4966    1.8238  2540.700      0
  31.4976    1.8249  2540.320      0
  31.4992    1.8269  2539.990      0
  31.5012    1.8293  2539.760      0
  31.5028    1.8318  2539.510      0
  31.5037    1.8334  2539.270      0
  31.5047    1.8342  2538.840      0
  31.5049    1.8344  2538.480      0
  31.5051    1.8348  2538.290      0
  31.5059    1.8357  2538.150      0
  31.5070    1.8373  2537.760      0
  31.5074    1.8378  2537.360      0
  31.5085    1.8391  2537.110      0
  31.5095    1.8408  2536.910      0
  31.5107    1.8420  2536.500      0
  31.5109    1.8428  2536.190      0
  31.5119    1.8437  2535.910      0
  31.5124    1.8445  2535.700      0
  31.5140    1.8463  2535.340      0
  31.5141    1.8467  2534.990      0
  31.5155    1.8486  2534.810      0
  31.5166    1.8494  2534.540      0
  31.5172    1.8504  2534.180      0
  31.5182    1.8521  2533.810      0
  31.5186    1.8525  2533.660      0
