
 Profile 2

 Sensors were turned on at  10/17/2015 03:36:16
 Vehicle began profiling at 10/17/2015 03:38:16

Date,[mA],[V],[dbar],Par[mV],scatSig,chlSig,CDOMSig
10/17/2015 03:38:17,0,11.4,0.000,0.00,127,149,67
10/17/2015 03:38:22,174,11.3,0.000,0.00,130,146,67
10/17/2015 03:38:27,443,11.2,0.000,0.00,126,138,69
10/17/2015 03:38:32,251,11.3,0.000,0.00,128,139,69
10/17/2015 03:38:37,255,11.2,0.000,0.00,129,137,70
10/17/2015 03:38:42,115,11.4,0.000,0.00,122,136,68
10/17/2015 03:38:49,231,11.2,38.530,0.00,114,112,71
10/17/2015 03:38:55,0,11.4,40.160,0.00,99,113,70
10/17/2015 03:39:00,483,11.1,41.480,0.00,115,100,71
10/17/2015 03:39:05,44,11.3,42.930,0.00,105,105,71
10/17/2015 03:39:10,387,11.1,44.260,0.00,101,96,69
10/17/2015 03:39:15,177,11.3,45.650,0.00,100,96,70
10/17/2015 03:39:20,25,11.3,46.980,0.00,102,91,69
10/17/2015 03:39:25,86,11.2,48.310,0.00,103,84,73
10/17/2015 03:39:30,365,11.1,49.720,0.00,94,87,71
10/17/2015 03:39:35,218,11.2,51.200,0.00,98,87,71
10/17/2015 03:39:40,177,11.1,52.270,0.00,101,85,72
10/17/2015 03:39:45,340,11.2,53.760,0.00,97,84,71
10/17/2015 03:39:50,1,11.3,55.180,0.00,94,76,71
10/17/2015 03:39:55,553,11.0,56.440,0.00,90,75,69
10/17/2015 03:40:00,204,11.2,57.650,0.00,89,71,69
10/17/2015 03:40:05,262,11.1,59.180,0.00,92,70,69
10/17/2015 03:40:10,42,11.2,60.410,0.00,92,67,69
10/17/2015 03:40:15,428,11.0,61.820,0.00,118,66,69
10/17/2015 03:40:20,424,11.1,63.110,0.00,93,68,68
10/17/2015 03:40:25,170,11.1,64.470,0.00,302,67,69
10/17/2015 03:40:30,243,11.2,65.790,0.00,95,64,70
10/17/2015 03:40:35,411,11.0,67.160,0.00,94,61,72
10/17/2015 03:40:40,570,11.0,68.440,0.00,99,60,68
10/17/2015 03:40:45,31,11.2,69.740,0.00,96,59,68
10/17/2015 03:40:50,336,11.1,71.180,0.00,106,60,70
10/17/2015 03:40:55,484,11.0,72.330,0.00,94,58,69
10/17/2015 03:41:00,102,11.2,73.710,0.00,95,59,69
10/17/2015 03:41:05,269,11.0,75.110,0.00,94,59,72
10/17/2015 03:41:10,9,11.2,76.360,0.00,98,57,70
10/17/2015 03:41:15,678,10.9,77.710,0.00,93,56,70
10/17/2015 03:41:20,200,11.1,79.070,0.00,95,58,69
10/17/2015 03:41:25,40,11.1,80.280,0.00,96,57,66
10/17/2015 03:41:30,508,11.0,81.650,0.00,95,57,70
10/17/2015 03:41:35,1,11.2,83.110,0.00,94,59,69
10/17/2015 03:41:40,171,11.2,84.380,0.00,93,56,69
10/17/2015 03:41:45,8,11.1,85.810,0.00,88,58,69
10/17/2015 03:41:50,420,11.0,87.200,0.00,90,55,66
10/17/2015 03:41:55,44,11.1,88.340,0.00,92,55,69
10/17/2015 03:42:00,422,11.0,89.770,0.00,84,53,68
10/17/2015 03:42:05,267,11.1,91.090,0.00,82,57,69
10/17/2015 03:42:10,327,11.0,92.300,0.00,87,55,67
10/17/2015 03:42:15,325,11.0,93.670,0.00,86,54,70
10/17/2015 03:42:20,192,11.1,94.940,0.00,90,55,68
10/17/2015 03:42:25,419,10.9,96.240,0.00,81,56,68
10/17/2015 03:42:30,107,11.1,97.550,0.00,85,55,65
10/17/2015 03:42:35,561,10.9,98.890,0.00,87,53,67
10/17/2015 03:42:40,26,11.1,100.160,0.00,89,52,70
10/17/2015 03:42:45,499,11.0,101.430,0.00,89,56,71
10/17/2015 03:42:50,0,11.1,102.790,0.00,88,53,67
10/17/2015 03:42:55,508,10.9,104.090,0.00,90,55,68
10/17/2015 03:43:00,132,11.1,105.410,0.00,97,51,71
10/17/2015 03:43:05,387,11.0,106.690,0.00,100,54,68
10/17/2015 03:43:10,255,11.0,107.970,0.00,94,53,69
10/17/2015 03:43:15,202,11.0,109.330,0.00,101,55,71
10/17/2015 03:43:20,464,10.9,110.550,0.00,99,54,69
10/17/2015 03:43:25,31,11.1,111.870,0.00,101,52,70
10/17/2015 03:43:30,463,10.9,113.220,0.00,97,54,69
10/17/2015 03:43:35,309,11.0,114.450,0.00,94,53,69
10/17/2015 03:43:40,307,11.0,115.730,0.00,95,52,69
10/17/2015 03:43:45,160,11.0,117.080,0.00,93,53,71
10/17/2015 03:43:50,502,10.9,118.350,0.00,100,53,69
10/17/2015 03:43:55,2,11.1,119.610,0.00,96,52,69
10/17/2015 03:44:00,260,11.0,120.950,0.00,101,51,67
10/17/2015 03:44:05,320,11.0,122.210,0.00,101,53,69
10/17/2015 03:44:10,126,11.1,123.560,0.00,101,52,69
10/17/2015 03:44:15,213,11.0,124.800,0.00,99,52,68
10/17/2015 03:44:20,345,11.0,126.130,0.00,106,55,71
10/17/2015 03:44:25,155,11.0,127.450,0.00,108,52,71
10/17/2015 03:44:30,216,11.0,128.700,0.00,113,55,71
10/17/2015 03:44:35,323,11.0,130.000,0.00,116,54,68
10/17/2015 03:44:40,195,11.0,131.300,0.00,128,53,68
10/17/2015 03:44:45,381,11.0,132.580,0.00,122,52,71
10/17/2015 03:44:50,238,11.0,133.920,0.00,113,52,71
10/17/2015 03:44:55,400,11.0,135.160,0.00,108,54,69
10/17/2015 03:45:00,209,11.0,136.510,0.00,110,53,71
10/17/2015 03:45:05,242,11.1,137.780,0.00,109,53,68
10/17/2015 03:45:10,291,11.0,139.070,0.00,103,53,72
10/17/2015 03:45:15,88,11.1,140.340,0.00,110,52,69
10/17/2015 03:45:20,460,10.9,141.670,0.00,112,55,70
10/17/2015 03:45:25,171,11.1,142.950,0.00,110,55,69
10/17/2015 03:45:30,439,10.9,144.260,0.00,110,54,70
10/17/2015 03:45:35,337,11.0,145.530,0.00,113,52,69
10/17/2015 03:45:40,223,11.0,146.840,0.00,106,53,71
10/17/2015 03:45:45,168,11.0,148.150,0.00,108,53,72
10/17/2015 03:45:50,404,11.0,149.450,0.00,110,54,69
10/17/2015 03:45:55,5,11.1,150.720,0.00,111,53,70
10/17/2015 03:46:00,556,10.9,152.010,0.00,108,54,68
10/17/2015 03:46:05,71,11.1,153.350,0.00,106,54,71
10/17/2015 03:46:10,331,11.0,154.650,0.00,104,52,73
10/17/2015 03:46:15,294,11.0,155.910,0.00,111,54,71
10/17/2015 03:46:20,196,11.0,157.260,0.00,111,52,67
10/17/2015 03:46:25,202,11.0,158.530,0.00,112,51,72
10/17/2015 03:46:30,422,10.9,159.840,0.00,106,54,72
10/17/2015 03:46:35,270,11.0,161.120,0.00,107,51,70
10/17/2015 03:46:40,184,11.1,162.410,0.00,106,52,69
10/17/2015 03:46:45,298,11.0,163.750,0.00,100,52,68
10/17/2015 03:46:50,323,11.0,165.020,0.00,106,53,70
10/17/2015 03:46:55,208,11.0,166.330,0.00,106,54,69
10/17/2015 03:47:00,471,10.9,167.590,0.00,104,54,70
10/17/2015 03:47:05,26,11.1,168.880,0.00,100,53,69
10/17/2015 03:47:10,452,10.9,170.110,0.00,107,53,72
10/17/2015 03:47:15,108,11.1,171.440,0.00,107,53,71
10/17/2015 03:47:20,370,11.0,172.720,0.00,104,54,69
10/17/2015 03:47:25,193,11.0,173.990,0.00,110,53,70
10/17/2015 03:47:30,215,11.0,175.320,0.00,101,51,69
10/17/2015 03:47:35,280,11.0,176.600,0.00,105,51,69
10/17/2015 03:47:40,328,11.0,177.910,0.00,99,53,69
10/17/2015 03:47:45,1,11.1,179.200,0.00,105,54,69
10/17/2015 03:47:50,481,10.9,180.510,0.00,96,52,68
10/17/2015 03:47:55,4,11.1,181.790,0.00,107,52,70
10/17/2015 03:48:00,488,10.9,183.100,0.00,97,53,69
10/17/2015 03:48:05,62,11.1,184.390,0.00,104,53,71
10/17/2015 03:48:10,435,11.0,185.690,0.00,99,53,70
10/17/2015 03:48:15,94,11.1,186.990,0.00,97,52,70
10/17/2015 03:48:20,418,10.9,188.310,0.00,100,53,70
10/17/2015 03:48:25,407,11.0,189.590,0.00,120,53,70
10/17/2015 03:48:30,47,11.0,190.920,0.00,100,50,68
10/17/2015 03:48:35,491,11.0,192.180,0.00,101,52,69
10/17/2015 03:48:40,46,11.0,193.530,0.00,104,51,69
10/17/2015 03:48:45,379,11.0,194.790,0.00,105,54,70
10/17/2015 03:48:50,234,11.0,196.100,0.00,100,52,71
10/17/2015 03:48:55,299,11.0,197.330,0.00,107,53,70
10/17/2015 03:49:00,346,11.0,198.630,0.00,96,51,70
10/17/2015 03:49:05,190,11.0,199.910,0.00,102,51,72
10/17/2015 03:49:10,339,11.0,201.210,0.00,102,55,71
10/17/2015 03:49:15,157,11.0,202.520,0.00,102,52,69
10/17/2015 03:49:20,306,11.0,203.810,0.00,100,53,71
10/17/2015 03:49:25,356,11.0,205.110,0.00,100,52,72
10/17/2015 03:49:30,96,11.1,206.440,0.00,119,50,71
10/17/2015 03:49:35,409,10.9,207.740,0.00,123,51,70
10/17/2015 03:49:40,178,11.1,209.050,0.00,105,53,70
10/17/2015 03:49:45,432,10.9,210.350,0.00,104,51,74
10/17/2015 03:49:50,326,11.0,211.610,0.00,101,51,74
10/17/2015 03:49:55,114,11.0,212.920,0.00,106,52,69
10/17/2015 03:50:00,430,11.0,214.190,0.00,101,53,69
10/17/2015 03:50:05,177,11.0,215.550,0.00,107,52,71
10/17/2015 03:50:10,472,11.0,216.870,0.00,99,53,70
10/17/2015 03:50:15,1,11.1,218.220,0.00,108,54,71
10/17/2015 03:50:20,417,11.0,219.490,0.00,110,54,71
10/17/2015 03:50:25,137,11.0,220.790,0.00,107,53,72
10/17/2015 03:50:30,304,11.0,222.070,0.00,110,52,72
10/17/2015 03:50:35,114,11.0,223.330,0.00,111,52,69
10/17/2015 03:50:40,359,11.0,224.540,0.00,113,53,68
10/17/2015 03:50:45,5,11.1,225.850,0.00,109,55,69
10/17/2015 03:50:50,197,11.0,227.150,0.00,108,53,71
10/17/2015 03:50:55,502,10.9,228.390,0.00,114,51,71
10/17/2015 03:51:00,60,11.1,229.710,0.00,111,54,71
10/17/2015 03:51:05,327,11.0,230.980,0.00,119,54,70
10/17/2015 03:51:10,293,11.0,232.280,0.00,120,53,70
10/17/2015 03:51:15,364,11.0,233.570,0.00,124,52,73
10/17/2015 03:51:20,154,11.0,234.900,0.00,115,53,71
10/17/2015 03:51:25,436,10.9,236.170,0.00,109,53,68
10/17/2015 03:51:30,166,11.0,237.460,0.00,107,53,70
10/17/2015 03:51:35,428,10.9,238.760,0.00,129,51,71
10/17/2015 03:51:40,82,11.1,240.030,0.00,118,55,71
10/17/2015 03:51:45,369,10.9,241.280,0.00,119,55,70
