Sample rate: 2.0000 Hz


 Profile 1

   MM-DD-YYYY HH:MM:SS     HDNG       TX       TY        HX        HY        HZ      VPAB      VPCD      VPEF      VPGH

   06-10-2018 04:00:17    35.70     4.14     6.67    0.1619    0.0536   -0.9854     13.66     -9.19     10.82    -13.27
   06-10-2018 04:00:42   356.96     4.99    -2.92    0.1726    0.0361   -0.9843     10.83    -10.64     14.02    -13.62
   06-10-2018 04:01:07   340.39     4.34    -4.54    0.1809   -0.0134   -0.9834     10.09     -8.49      4.87    -13.08
   06-10-2018 04:01:32   352.35     4.99    -3.57    0.1743    0.0260   -0.9844     10.75     -9.66      4.96    -14.17
   06-10-2018 04:01:57     0.66     5.31    -2.60    0.1687    0.0473   -0.9845     10.99    -10.76     13.01    -13.93
   06-10-2018 04:02:22    10.91     5.96    -1.38    0.1546    0.0729   -0.9853      9.98    -11.51     14.67     -1.49
   06-10-2018 04:02:47     9.45     5.80    -1.30    0.1575    0.0648   -0.9854      9.43    -19.17     11.97      4.24
   06-10-2018 04:03:12     1.80     5.64    -1.95    0.1675    0.0415   -0.9850     10.11    -18.77     10.00      4.82
   06-10-2018 04:03:37   351.14     5.15    -3.24    0.1752    0.0143   -0.9844     11.24    -19.09      7.91      5.37
   06-10-2018 04:04:02   348.13     4.99    -3.57    0.1793    0.0052   -0.9838     10.64    -18.56      8.48      5.25
   06-10-2018 04:04:27     0.89     5.64    -2.43    0.1684    0.0456   -0.9847     11.23    -19.93     10.28      3.89
   06-10-2018 04:04:52   354.01     5.31    -2.92    0.1733    0.0221   -0.9846     11.28    -18.82     10.93      3.62
   06-10-2018 04:05:17   349.46     4.99    -4.06    0.1772    0.0203   -0.9840     12.00    -20.54     10.85      2.84
   06-10-2018 04:05:42   345.00     4.66    -4.22    0.1773    0.0031   -0.9842     10.71    -17.97     12.81      3.18
   06-10-2018 04:06:07   345.64     4.66    -3.89    0.1795    0.0000   -0.9838     11.78    -17.19     10.91      3.17
   06-10-2018 04:06:32   349.43     4.99    -3.57    0.1790    0.0115   -0.9838     11.55    -18.48     11.12      3.17
   06-10-2018 04:06:57   343.26     4.66    -4.06    0.1833   -0.0100   -0.9830     12.19    -19.38     10.76      2.74
   06-10-2018 04:07:22   357.43     5.31    -2.60    0.1748    0.0323   -0.9841      8.77    -19.92     14.71      3.19
   06-10-2018 04:07:47   354.49     5.31    -3.08    0.1792    0.0265   -0.9835     11.70    -17.55     10.46      3.38
   06-10-2018 04:08:12   355.61     4.99    -2.60    0.1812    0.0237   -0.9832     10.61    -18.31     11.30      3.65
   06-10-2018 04:08:37     0.50     5.31    -1.95    0.1750    0.0355   -0.9839     11.62    -19.97      8.87      3.99
   06-10-2018 04:09:02     2.94     5.31    -1.62    0.1757    0.0413   -0.9836      9.83    -18.35      9.68      5.15
