Sample rate: 2.0000 Hz


 Profile 1

   MM-DD-YYYY HH:MM:SS     HDNG       TX       TY        HX        HY        HZ      VPAB      VPCD      VPEF      VPGH

   06-10-2018 04:00:17    35.70     4.14     6.67    0.1619    0.0536   -0.9854     13.66     -9.19     10.82    -13.27
   06-10-2018 04:00:18     7.64     5.80    -1.13    0.1617    0.0543   -0.9853     12.72     -9.85     10.61    -13.82
   06-10-2018 04:00:18     8.07     5.96    -0.97    0.1636    0.0542   -0.9850     12.20    -10.41     11.86    -13.26
   06-10-2018 04:00:19     6.71     5.80    -1.62    0.1611    0.0582   -0.9852     10.98    -10.62     13.88    -14.00
   06-10-2018 04:00:19     2.76     5.40    -2.27    0.1642    0.0511   -0.9851     11.39    -10.75     13.73    -14.45
   06-10-2018 04:00:20     4.63     5.64    -1.62    0.1655    0.0489   -0.9850     12.41    -10.54     12.52    -13.16
   06-10-2018 04:00:20     3.10     5.64    -1.62    0.1668    0.0419   -0.9851     12.05    -10.49     12.66    -13.45
   06-10-2018 04:00:21   356.85     5.31    -2.68    0.1727    0.0312   -0.9845     10.37    -10.29     13.27    -11.04
   06-10-2018 04:00:21   352.87     4.99    -3.57    0.1726    0.0287   -0.9846     10.70     -9.76     12.55    -12.31
   06-10-2018 04:00:22   352.98     5.31    -2.92    0.1760    0.0169   -0.9842     11.62     -9.38     10.27    -12.62
   06-10-2018 04:00:22   351.70     4.99    -2.92    0.1773    0.0115   -0.9841     11.99     -9.10      8.40    -12.79
   06-10-2018 04:00:23   348.10     4.99    -3.57    0.1767    0.0057   -0.9843     10.93     -9.05      8.52    -12.65
   06-10-2018 04:00:23   344.27     4.66    -4.22    0.1805   -0.0014   -0.9836     10.82     -9.01      7.64    -12.95
   06-10-2018 04:00:24   345.66     4.66    -4.06    0.1784    0.0032   -0.9839     11.75     -8.97      6.06    -13.39
   06-10-2018 04:00:24   349.50     4.99    -2.92    0.1781    0.0010   -0.9840      9.87     -9.24      4.98    -13.68
   06-10-2018 04:00:25   349.60     5.31    -3.08    0.1781    0.0032   -0.9840     11.58     -9.49      5.89    -14.08
   06-10-2018 04:00:25   345.95     4.66    -4.14    0.1764    0.0065   -0.9843     10.67     -9.62      7.00    -14.09
   06-10-2018 04:00:26   347.28     4.83    -3.89    0.1785    0.0075   -0.9839     11.27     -9.60      6.37    -14.26
   06-10-2018 04:00:26   354.15     4.99    -2.60    0.1753    0.0176   -0.9844     12.44     -9.51      5.48    -14.25
   06-10-2018 04:00:27   354.95     5.31    -2.43    0.1747    0.0180   -0.9845     11.93     -9.51      6.18    -14.05
   06-10-2018 04:00:27   353.57     4.99    -3.24    0.1716    0.0265   -0.9848     11.92     -9.42      7.43    -13.63
   06-10-2018 04:00:28   353.82     4.99    -3.24    0.1722    0.0275   -0.9847     11.41     -9.46      7.42    -13.62
