

 Profile 341

mmho/cm,Celsius,dbars,hz

31.9223,2.1660,2509.480, 0
31.9223,2.1661,2509.560, 0
31.9224,2.1659,2509.420, 0
31.9224,2.1656,2509.590, 0
31.9221,2.1659,2509.450, 0
31.9223,2.1659,2509.610, 0
31.9225,2.1661,2509.520, 0
31.9224,2.1660,2509.560, 0
31.9224,2.1660,2509.580, 0
31.9224,2.1659,2509.460, 0
31.9224,2.1660,2509.620, 0
31.9224,2.1660,2509.500, 0
31.9224,2.1659,2509.490, 0
31.9224,2.1662,2509.630, 0
31.9227,2.1662,2509.480, 0
31.9225,2.1662,2509.610, 0
31.9225,2.1661,2509.640, 0
31.9227,2.1660,2509.410, 0
31.9224,2.1660,2509.570, 0
31.9226,2.1661,2509.600, 0
31.9226,2.1665,2509.520, 0
31.9226,2.1667,2509.560, 0
31.9226,2.1661,2509.570, 0
31.9224,2.1661,2509.460, 0
31.9226,2.1661,2509.550, 0
31.9225,2.1662,2509.640, 0
31.9227,2.1664,2509.500, 0
31.9227,2.1660,2509.510, 0
31.9225,2.1661,2509.640, 0
31.9224,2.1659,2509.530, 0
31.9226,2.1659,2509.470, 0
31.9224,2.1661,2509.550, 0
31.9224,2.1661,2509.550, 0
31.9222,2.1657,2509.440, 0
31.9228,2.1661,2509.520, 0
31.9224,2.1663,2509.550, 0
31.9221,2.1657,2509.450, 0
31.9225,2.1660,2509.490, 0
31.9225,2.1662,2509.590, 0
31.9225,2.1660,2509.510, 0
31.9226,2.1665,2509.500, 0
31.9228,2.1664,2509.560, 0
31.9230,2.1664,2509.570, 0
31.9226,2.1665,2509.450, 0
31.9226,2.1667,2509.450, 0
31.9230,2.1667,2509.530, 0
31.9230,2.1664,2509.570, 0
31.9227,2.1665,2509.510, 0
31.9229,2.1667,2509.440, 0
31.9229,2.1667,2509.480, 0
31.9231,2.1666,2509.570, 0
31.9228,2.1667,2509.530, 0
31.9228,2.1669,2509.450, 0
31.9230,2.1664,2509.460, 0
31.9230,2.1665,2509.500, 0
31.9228,2.1664,2509.650, 0
31.9222,2.1659,2509.540, 0
31.9222,2.1661,2509.540, 0
31.9221,2.1657,2509.440, 0
31.9219,2.1656,2509.410, 0
31.9219,2.1655,2509.490, 0
31.9220,2.1657,2509.550, 0
31.9222,2.1655,2509.530, 0
31.9224,2.1665,2509.490, 0
31.9230,2.1668,2509.410, 0
31.9232,2.1670,2509.420, 0
31.9232,2.1670,2509.520, 0
31.9228,2.1668,2509.600, 0
31.9229,2.1665,2509.560, 0
31.9227,2.1665,2509.530, 0
31.9233,2.1666,2509.470, 0
31.9229,2.1668,2509.400, 0
31.9232,2.1668,2509.520, 0
31.9228,2.1666,2509.550, 0
31.9232,2.1671,2509.590, 0
31.9232,2.1668,2509.520, 0
31.9232,2.1667,2509.460, 0
31.9230,2.1665,2509.430, 0
31.9232,2.1666,2509.410, 0
31.9231,2.1669,2509.470, 0
31.9231,2.1667,2509.520, 0
31.9229,2.1668,2509.510, 0
31.9229,2.1665,2509.580, 0
31.9230,2.1666,2509.410, 0
31.9232,2.1668,2509.380, 0
31.9230,2.1669,2509.480, 0
31.9232,2.1667,2509.480, 0
31.9230,2.1666,2509.540, 0
31.9232,2.1668,2509.570, 0
31.9232,2.1667,2509.500, 0
31.9231,2.1669,2509.460, 0
31.9233,2.1671,2509.400, 0
31.9229,2.1669,2509.470, 0
31.9227,2.1664,2509.490, 0
31.9232,2.1665,2509.450, 0
31.9230,2.1669,2509.530, 0
31.9230,2.1665,2509.530, 0
31.9226,2.1662,2509.540, 0
31.9226,2.1662,2509.460, 0
31.9228,2.1668,2509.430, 0
31.9230,2.1670,2509.430, 0
31.9231,2.1668,2509.510, 0
31.9229,2.1666,2509.550, 0
31.9229,2.1664,2509.510, 0
31.9233,2.1670,2509.430, 0
31.9232,2.1671,2509.440, 0
31.9230,2.1668,2509.490, 0
31.9224,2.1662,2509.540, 0
31.9226,2.1661,2509.460, 0
31.9228,2.1668,2509.450, 0
31.9230,2.1667,2509.400, 0
31.9232,2.1671,2509.490, 0
31.9231,2.1671,2509.520, 0
31.9231,2.1671,2509.470, 0
31.9227,2.1665,2509.400, 0
31.9227,2.1661,2509.330, 0
31.9226,2.1660,2509.510, 0
31.9228,2.1662,2509.430, 0
31.9230,2.1665,2509.390, 0
31.9228,2.1667,2509.290, 0
31.9228,2.1667,2509.220, 0
31.9232,2.1670,2509.170, 0
31.9228,2.1669,2509.050, 0
31.9231,2.1668,2508.940, 0
31.9231,2.1672,2508.820, 0
31.9229,2.1670,2508.510, 0
31.9229,2.1672,2508.310, 0
31.9228,2.1671,2508.180, 0
31.9228,2.1672,2508.050, 0
31.9230,2.1674,2507.840, 0
31.9241,2.1687,2507.550, 0
31.9247,2.1697,2507.290, 0
