
 Profile 345

 Sensors were turned on at  04/24/2017 20:00:02
 Vehicle began profiling at 04/24/2017 20:02:03

Date,[mA],[V],[dbar],Oxygen[uM],Optode Temp[C],Chl,NTU,Therm
04/24/2017 20:02:03,0,11.1,0.000,0.00,0.00,54,123,569
04/24/2017 20:02:13,166,10.7,0.000,0.00,0.00,53,120,569
04/24/2017 20:02:23,164,10.8,0.000,0.00,0.00,54,121,569
04/24/2017 20:02:36,175,10.8,2516.440,337.14,2.26,53,119,569
04/24/2017 20:02:46,105,11.0,2513.710,336.63,2.28,53,123,569
04/24/2017 20:02:56,110,11.0,2510.910,335.98,2.29,54,128,569
04/24/2017 20:03:06,111,10.9,2508.140,335.58,2.29,53,123,569
04/24/2017 20:03:16,118,10.9,2505.440,335.78,2.31,53,122,569
04/24/2017 20:03:26,113,11.0,2502.730,335.93,2.32,54,125,569
04/24/2017 20:03:36,117,10.9,2499.920,335.58,2.33,53,124,569
04/24/2017 20:03:46,119,10.9,2497.290,335.06,2.33,52,124,569
04/24/2017 20:03:56,104,10.9,2494.650,335.24,2.34,53,123,569
04/24/2017 20:04:06,109,10.9,2491.930,335.38,2.35,54,130,569
04/24/2017 20:04:16,100,10.9,2489.140,335.55,2.36,54,125,568
04/24/2017 20:04:26,120,10.9,2486.320,335.53,2.38,54,126,568
04/24/2017 20:04:36,109,10.9,2483.720,335.03,2.39,53,123,568
04/24/2017 20:04:46,106,10.9,2481.070,334.41,2.40,53,124,568
04/24/2017 20:04:56,114,10.9,2478.180,334.68,2.40,55,121,568
04/24/2017 20:05:06,101,10.9,2475.480,333.84,2.41,53,122,568
04/24/2017 20:05:16,91,10.9,2472.750,333.65,2.42,55,120,568
04/24/2017 20:05:26,112,10.9,2470.120,333.69,2.43,54,121,568
04/24/2017 20:05:36,106,10.9,2467.450,333.06,2.45,53,123,568
04/24/2017 20:05:46,109,10.9,2464.730,332.01,2.46,52,121,568
04/24/2017 20:05:56,113,10.8,2462.010,332.74,2.47,53,122,568
04/24/2017 20:06:06,108,10.9,2459.280,332.15,2.48,53,121,568
04/24/2017 20:06:16,122,10.8,2456.530,332.40,2.49,54,122,568
04/24/2017 20:06:26,107,10.9,2453.940,331.81,2.51,53,118,568
04/24/2017 20:06:36,118,10.8,2451.280,331.56,2.53,53,119,568
04/24/2017 20:06:46,107,10.9,2448.470,330.39,2.54,54,118,568
04/24/2017 20:06:56,109,10.8,2445.790,329.56,2.54,53,117,568
04/24/2017 20:07:06,108,10.8,2443.190,329.10,2.56,53,116,568
04/24/2017 20:07:16,111,10.8,2440.510,328.19,2.57,54,116,568
04/24/2017 20:07:26,109,10.8,2437.710,327.73,2.58,53,116,568
04/24/2017 20:07:36,112,10.8,2434.900,327.80,2.58,54,116,568
04/24/2017 20:07:46,121,10.8,2432.210,326.63,2.59,54,115,567
04/24/2017 20:07:56,89,10.8,2429.650,326.25,2.60,54,114,567
04/24/2017 20:08:06,106,10.8,2426.960,326.76,2.62,53,113,567
04/24/2017 20:08:16,117,10.8,2424.270,325.36,2.62,53,116,567
04/24/2017 20:08:26,123,10.8,2421.530,325.24,2.62,53,113,567
04/24/2017 20:08:36,122,10.8,2418.810,325.50,2.63,53,115,567
04/24/2017 20:08:46,112,10.8,2416.160,326.17,2.63,53,118,567
04/24/2017 20:08:56,112,10.8,2413.550,325.52,2.64,53,116,567
04/24/2017 20:09:06,108,10.8,2410.820,325.21,2.64,54,115,567
04/24/2017 20:09:16,120,10.8,2408.010,325.16,2.64,53,114,567
04/24/2017 20:09:26,108,10.8,2405.400,325.50,2.65,53,115,567
04/24/2017 20:09:36,118,10.8,2402.700,324.93,2.65,52,118,567
04/24/2017 20:09:46,107,10.8,2400.040,325.43,2.65,55,115,567
04/24/2017 20:09:56,117,10.8,2397.250,324.91,2.65,53,114,567
04/24/2017 20:10:06,106,10.8,2394.560,325.07,2.66,51,117,567
04/24/2017 20:10:16,107,10.8,2391.880,325.51,2.68,54,117,567
04/24/2017 20:10:26,114,10.8,2389.250,326.06,2.68,52,118,567
04/24/2017 20:10:36,109,10.8,2386.540,326.60,2.68,54,118,567
04/24/2017 20:10:46,125,10.8,2383.760,325.98,2.68,53,120,567
04/24/2017 20:10:56,117,10.8,2381.170,327.16,2.68,54,118,567
04/24/2017 20:11:06,113,10.8,2378.530,327.09,2.68,53,119,567
04/24/2017 20:11:16,113,10.8,2375.820,327.27,2.70,54,117,567
04/24/2017 20:11:26,127,10.8,2373.210,325.60,2.71,53,116,567
04/24/2017 20:11:36,114,10.8,2370.330,325.65,2.71,55,114,567
04/24/2017 20:11:46,124,10.8,2367.790,325.96,2.71,54,120,567
04/24/2017 20:11:56,116,10.8,2365.050,326.32,2.72,52,118,567
04/24/2017 20:12:06,128,10.8,2362.430,325.62,2.73,52,118,567
04/24/2017 20:12:16,113,10.8,2359.580,326.15,2.73,53,118,567
04/24/2017 20:12:26,114,10.8,2356.970,326.04,2.74,54,117,567
04/24/2017 20:12:36,108,10.8,2354.300,326.41,2.74,53,118,567
04/24/2017 20:12:46,121,10.8,2351.640,326.29,2.74,52,120,567
04/24/2017 20:12:56,115,10.8,2348.970,326.60,2.74,53,120,567
04/24/2017 20:13:06,111,10.8,2346.200,327.20,2.75,53,120,567
04/24/2017 20:13:16,122,10.8,2343.600,327.30,2.75,55,124,567
04/24/2017 20:13:26,104,10.8,2340.940,328.02,2.75,53,122,567
04/24/2017 20:13:36,113,10.8,2338.130,328.76,2.75,54,128,567
04/24/2017 20:13:46,117,10.8,2335.480,329.01,2.75,54,122,567
04/24/2017 20:13:56,112,10.8,2332.900,329.24,2.74,54,124,567
04/24/2017 20:14:06,112,10.8,2330.250,329.65,2.74,54,125,567
04/24/2017 20:14:16,120,10.8,2327.470,330.76,2.73,53,125,567
04/24/2017 20:14:26,105,10.8,2324.770,331.10,2.73,53,124,567
04/24/2017 20:14:36,109,10.8,2322.190,331.12,2.74,54,126,567
04/24/2017 20:14:46,115,10.8,2319.520,331.66,2.75,54,123,567
04/24/2017 20:14:56,115,10.8,2316.740,330.51,2.77,53,122,567
04/24/2017 20:15:06,121,10.8,2314.130,330.49,2.79,53,122,567
04/24/2017 20:15:16,121,10.8,2311.510,329.58,2.81,54,117,567
04/24/2017 20:15:26,123,10.8,2308.740,328.81,2.84,52,115,566
04/24/2017 20:15:36,116,10.8,2306.080,326.91,2.86,54,115,567
04/24/2017 20:15:46,125,10.8,2303.470,325.25,2.86,52,117,567
04/24/2017 20:15:56,112,10.8,2300.730,325.62,2.87,53,116,566
04/24/2017 20:16:06,114,10.8,2297.990,325.49,2.88,53,118,567
04/24/2017 20:16:16,107,10.8,2295.450,324.97,2.88,53,115,567
04/24/2017 20:16:26,123,10.8,2292.690,325.79,2.88,52,117,567
04/24/2017 20:16:36,107,10.8,2290.040,325.18,2.88,54,115,567
04/24/2017 20:16:46,115,10.8,2287.410,325.38,2.88,53,117,566
04/24/2017 20:16:56,117,10.8,2284.690,325.84,2.90,53,115,566
04/24/2017 20:17:06,124,10.8,2282.020,323.60,2.92,53,113,566
04/24/2017 20:17:16,112,10.8,2279.250,322.71,2.92,53,114,566
04/24/2017 20:17:26,103,10.8,2276.620,323.58,2.93,53,113,566
04/24/2017 20:17:36,111,10.8,2273.950,323.04,2.93,54,114,566
04/24/2017 20:17:46,124,10.8,2271.280,322.69,2.94,53,111,566
04/24/2017 20:17:56,108,10.8,2268.540,322.13,2.95,52,113,566
04/24/2017 20:18:06,124,10.8,2265.910,321.55,2.95,52,114,566
04/24/2017 20:18:16,118,10.8,2263.260,321.30,2.96,53,112,566
04/24/2017 20:18:26,112,10.8,2260.600,320.84,2.97,54,111,566
04/24/2017 20:18:36,116,10.8,2257.810,320.58,2.97,54,112,566
04/24/2017 20:18:46,126,10.8,2255.270,320.56,2.97,52,113,566
04/24/2017 20:18:56,96,10.8,2252.570,320.85,2.97,53,111,566
04/24/2017 20:19:06,125,10.8,2249.800,320.99,2.97,53,112,566
