

 Profile 348

mmho/cm,Celsius,dbars,hz

32.5356,3.9414,206.560, 0
32.5362,3.9418,206.430, 0
32.5360,3.9418,206.500, 0
32.5358,3.9420,206.500, 0
32.5360,3.9416,206.490, 0
32.5352,3.9410,206.500, 0
32.5364,3.9417,206.490, 0
32.5356,3.9415,206.550, 0
32.5352,3.9413,206.450, 0
32.5358,3.9410,206.560, 0
32.5360,3.9416,206.470, 0
32.5360,3.9419,206.600, 0
32.5360,3.9416,206.470, 0
32.5358,3.9415,206.490, 0
32.5358,3.9418,206.560, 0
32.5354,3.9415,206.460, 0
32.5354,3.9407,206.590, 0
32.5358,3.9410,206.470, 0
32.5312,3.9376,206.530, 0
32.5296,3.9351,206.620, 0
32.5306,3.9355,206.460, 0
32.5300,3.9353,206.560, 0
32.5300,3.9349,206.580, 0
32.5278,3.9328,206.450, 0
32.5284,3.9329,206.580, 0
32.5282,3.9330,206.560, 0
32.5294,3.9342,206.480, 0
32.5282,3.9331,206.600, 0
32.5278,3.9329,206.530, 0
32.5328,3.9375,206.530, 0
32.5318,3.9376,206.620, 0
32.5284,3.9347,206.520, 0
32.5288,3.9340,206.500, 0
32.5284,3.9338,206.600, 0
32.5330,3.9377,206.610, 0
32.5344,3.9396,206.490, 0
32.5338,3.9397,206.550, 0
32.5340,3.9397,206.620, 0
32.5300,3.9363,206.540, 0
32.5284,3.9336,206.520, 0
32.5304,3.9357,206.620, 0
32.5286,3.9339,206.580, 0
32.5288,3.9342,206.510, 0
32.5284,3.9333,206.550, 0
32.5274,3.9324,206.640, 0
32.5274,3.9326,206.540, 0
32.5276,3.9328,206.550, 0
32.5278,3.9326,206.600, 0
32.5272,3.9322,206.610, 0
32.5268,3.9317,206.480, 0
32.5270,3.9315,206.570, 0
32.5270,3.9320,206.640, 0
32.5270,3.9321,206.540, 0
32.5268,3.9320,206.540, 0
32.5270,3.9318,206.640, 0
32.5266,3.9320,206.640, 0
32.5268,3.9318,206.520, 0
32.5264,3.9316,206.680, 0
32.5323,3.9367,206.680, 0
32.5288,3.9351,206.530, 0
32.5280,3.9334,206.610, 0
32.5306,3.9352,206.650, 0
32.5316,3.9367,206.590, 0
32.5326,3.9387,206.560, 0
32.5304,3.9366,206.610, 0
32.5346,3.9401,206.690, 0
32.5326,3.9382,206.650, 0
32.5350,3.9404,206.550, 0
32.5350,3.9409,206.580, 0
32.5344,3.9406,206.680, 0
32.5354,3.9406,206.610, 0
32.5350,3.9407,206.560, 0
32.5344,3.9403,206.650, 0
32.5346,3.9403,206.670, 0
32.5352,3.9410,206.590, 0
32.5350,3.9411,206.560, 0
32.5352,3.9409,206.670, 0
32.5352,3.9411,206.680, 0
32.5340,3.9401,206.600, 0
32.5342,3.9398,206.610, 0
32.5342,3.9401,206.670, 0
32.5347,3.9402,206.700, 0
32.5344,3.9401,206.620, 0
32.5342,3.9398,206.660, 0
32.5350,3.9406,206.740, 0
32.5345,3.9403,206.700, 0
32.5340,3.9397,206.600, 0
32.5338,3.9390,206.650, 0
32.5342,3.9399,206.740, 0
32.5342,3.9397,206.710, 0
32.5346,3.9398,206.600, 0
32.5346,3.9402,206.650, 0
32.5352,3.9402,206.710, 0
32.5332,3.9384,206.680, 0
32.5324,3.9378,206.610, 0
32.5328,3.9380,206.710, 0
32.5330,3.9380,206.740, 0
32.5328,3.9380,206.700, 0
32.5334,3.9388,206.620, 0
32.5332,3.9386,206.690, 0
32.5334,3.9385,206.750, 0
32.5334,3.9386,206.640, 0
32.5333,3.9391,206.650, 0
32.5342,3.9397,206.700, 0
32.5341,3.9400,206.790, 0
32.5338,3.9392,206.710, 0
32.5344,3.9397,206.650, 0
32.5348,3.9399,206.700, 0
32.5342,3.9402,206.740, 0
32.5344,3.9399,206.760, 0
32.5338,3.9394,206.670, 0
32.5344,3.9398,206.700, 0
32.5340,3.9395,206.770, 0
32.5340,3.9393,206.740, 0
32.5342,3.9394,206.660, 0
32.5354,3.9404,206.720, 0
32.5352,3.9407,206.810, 0
32.5346,3.9400,206.760, 0
32.5350,3.9406,206.690, 0
32.5352,3.9405,206.720, 0
32.5346,3.9401,206.850, 0
32.5352,3.9406,206.820, 0
32.5346,3.9398,206.860, 0
32.5345,3.9400,207.100, 0
32.5340,3.9393,207.230, 0
32.5346,3.9393,207.230, 0
32.5350,3.9403,207.470, 0
32.5336,3.9387,207.690, 0
32.5334,3.9378,207.780, 0
32.5342,3.9391,207.880, 0
32.5342,3.9389,208.110, 0
32.5334,3.9380,208.400, 0
32.5316,3.9367,208.610, 0
32.5308,3.9347,208.700, 0
32.5316,3.9350,208.920, 0
32.5308,3.9349,209.230, 0
32.5300,3.9338,209.530, 0
32.5306,3.9341,209.720, 0
32.5304,3.9334,209.880, 0
32.5310,3.9344,210.150, 0
32.5300,3.9330,210.450, 0
32.5296,3.9324,210.710, 0
32.5288,3.9318,210.950, 0
32.5306,3.9333,211.170, 0
32.5294,3.9324,211.400, 0
32.5290,3.9317,211.690, 0
32.5288,3.9314,212.070, 0
32.5300,3.9318,212.320, 0
32.5306,3.9329,212.510, 0
32.5296,3.9318,212.710, 0
32.5294,3.9317,213.040, 0
32.5276,3.9293,213.400, 0
32.5274,3.9290,213.660, 0
32.5276,3.9287,213.820, 0
32.5280,3.9291,214.030, 0
32.5274,3.9285,214.420, 0
32.5272,3.9282,214.770, 0
32.5272,3.9277,214.920, 0
32.5272,3.9280,215.090, 0
32.5270,3.9277,215.420, 0
32.5282,3.9283,215.780, 0
32.5274,3.9278,216.040, 0
32.5276,3.9279,216.270, 0
32.5274,3.9276,216.460, 0
32.5196,3.9210,216.720, 0
32.5182,3.9180,217.010, 0
32.5168,3.9154,217.350, 0
32.5186,3.9172,217.560, 0
32.5178,3.9167,217.820, 0
32.5192,3.9177,218.020, 0
32.5196,3.9182,218.320, 0
32.5202,3.9187,218.680, 0
32.5216,3.9206,218.940, 0
32.5198,3.9196,219.140, 0
32.5140,3.9149,219.370, 0
32.5126,3.9110,219.600, 0
32.5134,3.9107,219.910, 0
32.5078,3.9067,220.250, 0
32.4994,3.8983,220.510, 0
32.4948,3.8923,220.680, 0
32.4954,3.8912,220.950, 0
32.4954,3.8917,221.200, 0
32.4938,3.8907,221.490, 0
32.4944,3.8910,221.860, 0
32.4946,3.8913,222.130, 0
32.5034,3.8967,222.300, 0
32.5072,3.9028,222.490, 0
32.5080,3.9053,222.770, 0
32.5082,3.9050,223.040, 0
32.5116,3.9074,223.370, 0
32.5116,3.9081,223.710, 0
32.5118,3.9080,223.970, 0
32.5110,3.9079,224.190, 0
32.5098,3.9062,224.360, 0
32.5110,3.9068,224.630, 0
32.5108,3.9061,224.940, 0
32.5084,3.9051,225.190, 0
32.5092,3.9036,225.540, 0
32.5072,3.9028,225.790, 0
32.5074,3.9020,226.000, 0
32.5058,3.9012,226.230, 0
32.5044,3.8987,226.510, 0
32.5048,3.8992,226.740, 0
32.5040,3.8985,227.080, 0
32.5032,3.8968,227.340, 0
32.5020,3.8952,227.610, 0
32.5008,3.8952,227.860, 0
32.5002,3.8940,228.060, 0
32.5006,3.8940,228.270, 0
32.4982,3.8922,228.600, 0
32.4960,3.8891,228.860, 0
32.4952,3.8877,229.220, 0
32.4950,3.8878,229.500, 0
32.4944,3.8871,229.760, 0
32.4944,3.8869,229.940, 0
32.4960,3.8879,230.140, 0
32.4960,3.8882,230.370, 0
32.4944,3.8873,230.680, 0
32.4933,3.8857,230.990, 0
32.4898,3.8824,231.290, 0
32.4902,3.8820,231.590, 0
32.4900,3.8815,231.800, 0
32.4886,3.8812,232.050, 0
32.4906,3.8818,232.270, 0
32.4926,3.8839,232.520, 0
32.4834,3.8779,232.820, 0
32.4752,3.8679,233.090, 0
32.4731,3.8631,233.410, 0
32.4696,3.8603,233.710, 0
32.4689,3.8593,233.970, 0
32.4687,3.8583,234.190, 0
32.4684,3.8584,234.400, 0
32.4694,3.8590,234.590, 0
32.4689,3.8589,234.890, 0
32.4689,3.8587,235.190, 0
32.4689,3.8589,235.480, 0
32.4687,3.8581,235.820, 0
32.4689,3.8583,236.070, 0
32.4685,3.8580,236.260, 0
32.4671,3.8563,236.540, 0
32.4671,3.8561,236.700, 0
32.4707,3.8594,237.010, 0
32.4701,3.8595,237.280, 0
32.4719,3.8607,237.590, 0
32.4687,3.8588,237.880, 0
32.4687,3.8578,238.130, 0
32.4699,3.8583,238.360, 0
32.4717,3.8601,238.570, 0
32.4721,3.8613,238.820, 0
32.4743,3.8632,239.120, 0
32.4729,3.8618,239.450, 0
32.4743,3.8627,239.740, 0
32.4751,3.8633,239.990, 0
32.4761,3.8641,240.220, 0
32.4735,3.8621,240.390, 0
32.4735,3.8612,240.640, 0
32.4757,3.8631,240.920, 0
32.4759,3.8635,241.230, 0
32.4707,3.8596,241.590, 0
32.4708,3.8582,241.820, 0
32.4667,3.8537,242.090, 0
32.4679,3.8540,242.370, 0
32.4633,3.8501,242.580, 0
32.4589,3.8458,242.760, 0
32.4583,3.8439,243.000, 0
32.4597,3.8450,243.250, 0
32.4625,3.8475,243.550, 0
32.4617,3.8480,243.870, 0
32.4615,3.8471,244.180, 0
32.4595,3.8459,244.460, 0
32.4662,3.8504,244.680, 0
32.4671,3.8525,244.920, 0
32.4685,3.8539,245.130, 0
32.4699,3.8546,245.370, 0
32.4705,3.8560,245.680, 0
32.4687,3.8549,246.020, 0
32.4663,3.8511,246.300, 0
32.4669,3.8507,246.530, 0
32.4593,3.8452,246.780, 0
32.4517,3.8354,246.930, 0
32.4433,3.8303,247.240, 0
32.4392,3.8232,247.530, 0
32.4339,3.8161,247.790, 0
32.4317,3.8126,248.140, 0
32.4287,3.8106,248.270, 0
32.4325,3.8127,248.560, 0
