
 Profile 329

 Sensors were turned on at  04/11/2017 12:00:02
 Vehicle began profiling at 04/11/2017 12:02:04

Date,[mA],[V],[dbar],Oxygen[uM],Optode Temp[C],Chl,NTU,Therm
04/11/2017 12:02:04,0,11.0,0.000,0.00,0.00,52,118,569
04/11/2017 12:02:14,170,10.8,0.000,0.00,0.00,52,115,569
04/11/2017 12:02:24,138,10.8,0.000,0.00,0.00,53,118,569
04/11/2017 12:02:37,135,10.9,2520.840,326.71,2.53,53,117,569
04/11/2017 12:02:47,73,11.0,2518.050,327.19,2.54,53,117,569
04/11/2017 12:02:57,84,11.0,2515.190,327.56,2.55,54,118,569
04/11/2017 12:03:07,76,11.0,2512.480,326.60,2.56,53,118,569
04/11/2017 12:03:17,72,11.0,2509.530,325.04,2.57,53,117,568
04/11/2017 12:03:27,77,11.0,2506.790,324.42,2.57,53,115,568
04/11/2017 12:03:37,69,11.0,2504.080,325.06,2.58,53,113,568
04/11/2017 12:03:47,73,11.0,2501.070,324.92,2.59,55,115,568
04/11/2017 12:03:57,83,11.0,2498.420,324.56,2.60,54,113,568
04/11/2017 12:04:07,78,11.0,2495.610,323.83,2.62,53,116,568
04/11/2017 12:04:17,74,10.9,2492.730,323.63,2.62,53,112,568
04/11/2017 12:04:27,90,10.9,2489.960,323.25,2.62,54,113,568
04/11/2017 12:04:37,86,10.9,2487.200,324.11,2.63,54,113,568
04/11/2017 12:04:47,83,10.9,2484.390,323.29,2.64,54,114,568
04/11/2017 12:04:57,82,10.9,2481.570,322.62,2.64,52,114,568
04/11/2017 12:05:07,86,10.9,2478.680,323.00,2.65,52,114,567
04/11/2017 12:05:17,74,10.9,2475.990,322.64,2.65,53,116,568
04/11/2017 12:05:27,74,10.9,2473.070,321.95,2.66,52,114,567
04/11/2017 12:05:37,82,10.9,2470.470,322.64,2.66,52,114,568
04/11/2017 12:05:47,81,10.9,2467.590,322.41,2.66,54,112,567
04/11/2017 12:05:57,82,10.9,2464.860,323.06,2.67,51,112,568
04/11/2017 12:06:07,72,10.9,2462.080,322.78,2.67,52,116,567
04/11/2017 12:06:17,94,10.9,2459.140,323.14,2.68,53,111,567
04/11/2017 12:06:27,79,10.9,2456.350,322.55,2.69,53,117,567
04/11/2017 12:06:37,80,10.9,2453.530,321.74,2.69,53,113,567
04/11/2017 12:06:47,77,10.9,2450.800,322.29,2.69,53,112,567
04/11/2017 12:06:57,74,10.9,2448.020,321.87,2.69,54,111,567
04/11/2017 12:07:07,83,10.9,2445.310,321.53,2.69,54,112,567
04/11/2017 12:07:17,99,10.9,2442.560,322.36,2.70,52,112,567
04/11/2017 12:07:27,87,10.9,2439.760,322.70,2.70,53,114,567
04/11/2017 12:07:37,82,10.9,2436.900,322.12,2.70,54,113,567
04/11/2017 12:07:47,94,10.8,2434.220,321.85,2.71,53,112,567
04/11/2017 12:07:57,90,10.9,2431.470,322.04,2.71,52,123,567
04/11/2017 12:08:07,86,10.9,2428.740,321.27,2.72,53,114,567
04/11/2017 12:08:17,84,10.9,2425.910,322.05,2.72,54,112,567
04/11/2017 12:08:27,78,10.9,2423.000,321.64,2.72,52,112,567
04/11/2017 12:08:37,94,10.9,2420.280,321.46,2.73,52,110,567
04/11/2017 12:08:47,77,10.9,2417.520,321.55,2.73,53,113,567
04/11/2017 12:08:57,83,10.9,2414.730,321.27,2.73,53,111,567
04/11/2017 12:09:07,78,10.9,2411.950,321.69,2.73,54,113,567
04/11/2017 12:09:17,95,10.9,2409.230,321.19,2.74,53,112,567
04/11/2017 12:09:27,75,10.9,2406.330,321.63,2.74,52,113,567
04/11/2017 12:09:37,91,10.9,2403.600,321.70,2.74,55,112,567
04/11/2017 12:09:47,86,10.8,2400.770,321.84,2.75,53,115,567
04/11/2017 12:09:57,83,10.9,2398.000,321.67,2.75,54,112,567
