

 Profile 321

mmho/cm,Celsius,dbars,hz

31.9894,2.2363,2519.590, 0
31.9894,2.2363,2519.570, 0
31.9895,2.2367,2519.670, 0
31.9897,2.2368,2519.510, 0
31.9897,2.2369,2519.620, 0
31.9897,2.2367,2519.520, 0
31.9897,2.2368,2519.600, 0
31.9898,2.2368,2519.540, 0
31.9902,2.2371,2519.550, 0
31.9904,2.2369,2519.620, 0
31.9900,2.2373,2519.490, 0
31.9902,2.2370,2519.660, 0
31.9902,2.2377,2519.490, 0
31.9908,2.2382,2519.620, 0
31.9912,2.2382,2519.620, 0
31.9910,2.2384,2519.540, 0
31.9914,2.2384,2519.630, 0
31.9914,2.2390,2519.520, 0
31.9916,2.2390,2519.530, 0
31.9916,2.2390,2519.670, 0
31.9916,2.2388,2519.510, 0
31.9919,2.2390,2519.510, 0
31.9919,2.2390,2519.650, 0
31.9917,2.2389,2519.500, 0
31.9917,2.2390,2519.540, 0
31.9915,2.2387,2519.600, 0
31.9915,2.2386,2519.480, 0
31.9913,2.2386,2519.610, 0
31.9915,2.2385,2519.590, 0
31.9913,2.2381,2519.510, 0
31.9911,2.2384,2519.620, 0
31.9911,2.2380,2519.560, 0
31.9911,2.2383,2519.480, 0
31.9909,2.2381,2519.610, 0
31.9911,2.2380,2519.560, 0
31.9907,2.2377,2519.500, 0
31.9907,2.2378,2519.690, 0
31.9907,2.2378,2519.610, 0
31.9905,2.2377,2519.530, 0
31.9905,2.2373,2519.620, 0
31.9905,2.2373,2519.580, 0
31.9903,2.2376,2519.590, 0
31.9903,2.2374,2519.550, 0
31.9903,2.2376,2519.620, 0
31.9903,2.2378,2519.590, 0
31.9907,2.2380,2519.500, 0
31.9907,2.2377,2519.600, 0
31.9907,2.2379,2519.580, 0
31.9905,2.2376,2519.470, 0
31.9904,2.2372,2519.590, 0
31.9902,2.2373,2519.570, 0
31.9900,2.2372,2519.530, 0
31.9900,2.2371,2519.590, 0
31.9900,2.2371,2519.720, 0
31.9900,2.2370,2519.560, 0
31.9900,2.2372,2519.480, 0
31.9902,2.2372,2519.600, 0
31.9904,2.2371,2519.630, 0
31.9904,2.2373,2519.560, 0
31.9902,2.2374,2519.630, 0
31.9902,2.2371,2519.560, 0
31.9900,2.2372,2519.560, 0
31.9899,2.2369,2519.620, 0
31.9897,2.2368,2519.630, 0
31.9897,2.2368,2519.550, 0
31.9895,2.2367,2519.640, 0
31.9897,2.2364,2519.590, 0
31.9895,2.2365,2519.560, 0
31.9895,2.2366,2519.580, 0
31.9893,2.2365,2519.660, 0
31.9893,2.2364,2519.530, 0
31.9893,2.2363,2519.570, 0
31.9893,2.2363,2519.590, 0
31.9895,2.2365,2519.580, 0
31.9899,2.2365,2519.510, 0
31.9899,2.2369,2519.590, 0
31.9903,2.2373,2519.620, 0
31.9901,2.2374,2519.580, 0
31.9903,2.2373,2519.510, 0
31.9905,2.2374,2519.590, 0
31.9905,2.2375,2519.650, 0
31.9905,2.2376,2519.480, 0
31.9903,2.2372,2519.490, 0
31.9903,2.2372,2519.650, 0
31.9903,2.2374,2519.690, 0
31.9899,2.2371,2519.530, 0
31.9897,2.2369,2519.550, 0
31.9901,2.2370,2519.610, 0
31.9899,2.2368,2519.580, 0
31.9900,2.2369,2519.520, 0
31.9897,2.2367,2519.600, 0
31.9900,2.2370,2519.680, 0
31.9898,2.2370,2519.590, 0
31.9902,2.2371,2519.520, 0
31.9902,2.2368,2519.610, 0
31.9902,2.2371,2519.600, 0
31.9898,2.2369,2519.580, 0
31.9898,2.2368,2519.570, 0
31.9898,2.2366,2519.530, 0
31.9898,2.2367,2519.640, 0
31.9898,2.2366,2519.600, 0
31.9896,2.2366,2519.510, 0
31.9895,2.2366,2519.630, 0
31.9895,2.2364,2519.640, 0
31.9897,2.2365,2519.520, 0
31.9895,2.2364,2519.550, 0
31.9893,2.2363,2519.690, 0
31.9893,2.2363,2519.680, 0
31.9893,2.2364,2519.490, 0
31.9891,2.2359,2519.510, 0
31.9891,2.2360,2519.570, 0
31.9889,2.2360,2519.630, 0
31.9893,2.2359,2519.620, 0
31.9891,2.2360,2519.500, 0
31.9893,2.2361,2519.620, 0
31.9891,2.2360,2519.660, 0
31.9893,2.2360,2519.560, 0
31.9887,2.2359,2519.540, 0
31.9891,2.2359,2519.530, 0
31.9889,2.2359,2519.600, 0
31.9891,2.2356,2519.560, 0
31.9889,2.2359,2519.400, 0
31.9889,2.2358,2519.290, 0
31.9891,2.2361,2519.250, 0
31.9889,2.2363,2519.140, 0
31.9891,2.2366,2519.020, 0
31.9899,2.2369,2518.640, 0
31.9905,2.2380,2518.490, 0
31.9912,2.2392,2518.410, 0
31.9916,2.2397,2518.270, 0
31.9924,2.2404,2518.040, 0
31.9930,2.2412,2517.690, 0
31.9930,2.2413,2517.560, 0
31.9936,2.2421,2517.300, 0
31.9946,2.2434,2517.090, 0
31.9954,2.2442,2516.870, 0
31.9954,2.2448,2516.450, 0
31.9956,2.2445,2516.270, 0
31.9970,2.2464,2516.080, 0
31.9984,2.2485,2515.760, 0
31.9984,2.2488,2515.480, 0
31.9992,2.2495,2515.210, 0
31.9996,2.2502,2514.910, 0
32.0002,2.2512,2514.700, 0
32.0013,2.2523,2514.400, 0
32.0033,2.2551,2514.010, 0
32.0072,2.2595,2513.790, 0
32.0101,2.2633,2513.570, 0
32.0111,2.2647,2513.340, 0
32.0115,2.2651,2512.960, 0
32.0127,2.2667,2512.650, 0
32.0129,2.2668,2512.360, 0
32.0152,2.2699,2512.200, 0
32.0162,2.2709,2511.970, 0
32.0166,2.2717,2511.550, 0
32.0180,2.2730,2511.280, 0
32.0211,2.2763,2511.010, 0
32.0255,2.2822,2510.770, 0
32.0280,2.2857,2510.480, 0
32.0330,2.2913,2510.170, 0
32.0348,2.2940,2509.840, 0
32.0366,2.2962,2509.650, 0
32.0368,2.2961,2509.400, 0
32.0378,2.2975,2509.120, 0
32.0384,2.2981,2508.740, 0
32.0388,2.2988,2508.400, 0
32.0390,2.2987,2508.190, 0
32.0406,2.3008,2507.910, 0
32.0414,2.3017,2507.740, 0
32.0416,2.3023,2507.430, 0
32.0414,2.3022,2507.120, 0
32.0414,2.3020,2506.750, 0
32.0416,2.3025,2506.540, 0
32.0420,2.3026,2506.270, 0
32.0420,2.3029,2505.960, 0
32.0414,2.3025,2505.590, 0
32.0412,2.3019,2505.380, 0
32.0410,2.3020,2505.180, 0
32.0410,2.3017,2504.850, 0
32.0410,2.3019,2504.500, 0
32.0410,2.3022,2504.260, 0
32.0420,2.3034,2503.970, 0
32.0416,2.3030,2503.750, 0
32.0418,2.3033,2503.520, 0
32.0439,2.3054,2503.070, 0
32.0455,2.3079,2502.760, 0
32.0465,2.3091,2502.510, 0
32.0469,2.3100,2502.410, 0
32.0473,2.3106,2502.110, 0
32.0481,2.3117,2501.750, 0
32.0487,2.3125,2501.370, 0
32.0489,2.3127,2501.120, 0
32.0489,2.3131,2500.840, 0
32.0493,2.3135,2500.670, 0
32.0500,2.3146,2500.370, 0
32.0502,2.3156,2500.130, 0
32.0515,2.3163,2499.790, 0
32.0529,2.3184,2499.420, 0
32.0543,2.3202,2499.190, 0
32.0551,2.3214,2499.010, 0
32.0557,2.3222,2498.750, 0
32.0563,2.3232,2498.380, 0
32.0567,2.3236,2498.050, 0
32.0575,2.3246,2497.820, 0
32.0581,2.3255,2497.570, 0
32.0587,2.3261,2497.250, 0
32.0589,2.3262,2496.960, 0
32.0589,2.3266,2496.740, 0
32.0591,2.3270,2496.460, 0
32.0591,2.3271,2496.060, 0
32.0593,2.3273,2495.930, 0
32.0593,2.3272,2495.610, 0
32.0593,2.3274,2495.230, 0
32.0593,2.3272,2494.930, 0
32.0593,2.3275,2494.710, 0
32.0593,2.3276,2494.560, 0
32.0595,2.3275,2494.260, 0
32.0597,2.3280,2493.860, 0
32.0595,2.3281,2493.540, 0
32.0595,2.3287,2493.380, 0
32.0599,2.3288,2493.080, 0
32.0602,2.3295,2492.810, 0
32.0603,2.3298,2492.430, 0
32.0603,2.3299,2492.130, 0
32.0606,2.3303,2491.880, 0
32.0603,2.3300,2491.680, 0
32.0599,2.3301,2491.460, 0
32.0600,2.3300,2491.110, 0
32.0599,2.3301,2490.730, 0
32.0600,2.3307,2490.470, 0
32.0599,2.3303,2490.160, 0
32.0599,2.3305,2489.910, 0
32.0599,2.3306,2489.680, 0
32.0599,2.3308,2489.440, 0
32.0600,2.3312,2489.170, 0
32.0606,2.3320,2488.890, 0
32.0610,2.3327,2488.600, 0
32.0612,2.3331,2488.240, 0
32.0612,2.3329,2487.960, 0
32.0612,2.3331,2487.670, 0
32.0620,2.3340,2487.410, 0
32.0636,2.3359,2487.200, 0
32.0642,2.3373,2486.950, 0
32.0654,2.3390,2486.660, 0
32.0664,2.3400,2486.310, 0
32.0670,2.3412,2486.050, 0
32.0680,2.3424,2485.800, 0
32.0689,2.3434,2485.460, 0
32.0701,2.3453,2485.210, 0
32.0723,2.3478,2484.920, 0
32.0734,2.3496,2484.760, 0
32.0744,2.3510,2484.370, 0
32.0748,2.3519,2484.130, 0
32.0754,2.3522,2483.750, 0
32.0764,2.3534,2483.450, 0
32.0770,2.3545,2483.230, 0
32.0776,2.3552,2482.920, 0
32.0784,2.3561,2482.780, 0
32.0788,2.3568,2482.510, 0
32.0795,2.3579,2482.150, 0
32.0807,2.3588,2481.820, 0
32.0816,2.3602,2481.480, 0
32.0820,2.3607,2481.220, 0
32.0825,2.3615,2480.990, 0
32.0829,2.3620,2480.780, 0
32.0831,2.3618,2480.450, 0
32.0831,2.3625,2480.140, 0
32.0835,2.3628,2479.760, 0
32.0841,2.3633,2479.590, 0
32.0843,2.3644,2479.410, 0
32.0854,2.3656,2479.120, 0
32.0870,2.3676,2478.760, 0
32.0890,2.3699,2478.440, 0
32.0902,2.3714,2478.160, 0
32.0913,2.3726,2477.850, 0
32.0927,2.3744,2477.670, 0
32.0935,2.3762,2477.480, 0
32.0949,2.3777,2477.110, 0
32.0971,2.3801,2476.730, 0
32.1000,2.3836,2476.420, 0
32.1016,2.3860,2476.170, 0
32.1026,2.3874,2475.990, 0
32.1046,2.3894,2475.740, 0
32.1059,2.3915,2475.500, 0
32.1065,2.3919,2475.200, 0
32.1073,2.3924,2474.780, 0
32.1083,2.3941,2474.470, 0
32.1093,2.3950,2474.250, 0
32.1099,2.3963,2473.970, 0
32.1115,2.3979,2473.760, 0
32.1123,2.3989,2473.510, 0
32.1121,2.3990,2473.210, 0
32.1123,2.3991,2472.880, 0
32.1121,2.3989,2472.590, 0
32.1124,2.3995,2472.330, 0
32.1128,2.3998,2472.120, 0
32.1143,2.4016,2471.860, 0
32.1170,2.4045,2471.600, 0
32.1184,2.4067,2471.260, 0
32.1207,2.4093,2470.910, 0
32.1231,2.4124,2470.580, 0
32.1241,2.4132,2470.270, 0
32.1263,2.4159,2470.110, 0
32.1272,2.4172,2469.830, 0
32.1284,2.4183,2469.600, 0
32.1284,2.4184,2469.320, 0
32.1293,2.4195,2469.000, 0
32.1348,2.4255,2468.670, 0
32.1369,2.4286,2468.350, 0
32.1377,2.4295,2468.090, 0
32.1373,2.4291,2467.830, 0
32.1361,2.4281,2467.630, 0
32.1355,2.4270,2467.330, 0
32.1355,2.4271,2467.080, 0
32.1350,2.4266,2466.680, 0
32.1352,2.4260,2466.380, 0
32.1351,2.4263,2466.140, 0
32.1351,2.4265,2465.810, 0
32.1357,2.4272,2465.580, 0
32.1349,2.4265,2465.430, 0
32.1361,2.4273,2465.110, 0
32.1359,2.4279,2464.800, 0
32.1364,2.4282,2464.510, 0
32.1366,2.4286,2464.180, 0
32.1369,2.4290,2463.920, 0
32.1375,2.4301,2463.680, 0
32.1383,2.4311,2463.410, 0
32.1387,2.4320,2463.190, 0
32.1385,2.4321,2462.790, 0
32.1391,2.4320,2462.500, 0
32.1390,2.4321,2462.210, 0
32.1388,2.4323,2461.900, 0
32.1392,2.4326,2461.750, 0
32.1405,2.4340,2461.550, 0
32.1436,2.4381,2461.200, 0
32.1456,2.4410,2460.880, 0
32.1472,2.4427,2460.560, 0
32.1485,2.4445,2460.270, 0
32.1502,2.4461,2460.030, 0
32.1512,2.4477,2459.810, 0
32.1519,2.4485,2459.550, 0
32.1525,2.4494,2459.250, 0
32.1529,2.4498,2458.900, 0
32.1535,2.4503,2458.590, 0
32.1539,2.4510,2458.290, 0
32.1543,2.4513,2458.000, 0
32.1548,2.4521,2457.760, 0
32.1570,2.4545,2457.560, 0
32.1578,2.4557,2457.340, 0
32.1580,2.4565,2457.040, 0
32.1598,2.4584,2456.660, 0
32.1606,2.4599,2456.440, 0
32.1608,2.4604,2456.040, 0
32.1607,2.4599,2455.800, 0
32.1612,2.4604,2455.520, 0
32.1612,2.4609,2455.240, 0
32.1612,2.4611,2455.080, 0
32.1612,2.4612,2454.740, 0
32.1612,2.4613,2454.530, 0
32.1617,2.4618,2454.100, 0
32.1615,2.4618,2453.790, 0
