
 Profile 344

 Sensors were turned on at  04/24/2017 00:00:02
 Vehicle began profiling at 04/24/2017 00:02:04

Date,[mA],[V],[dbar],Oxygen[uM],Optode Temp[C],Chl,NTU,Therm
04/24/2017 00:02:04,0,11.1,0.000,0.00,0.00,78,136,567
04/24/2017 00:02:14,207,10.7,0.000,0.00,0.00,73,130,567
04/24/2017 00:02:24,190,10.8,0.000,0.00,0.00,74,131,567
04/24/2017 00:02:37,242,10.8,181.530,371.40,4.02,67,127,566
04/24/2017 00:02:47,149,10.9,184.610,370.65,4.00,87,139,566
04/24/2017 00:02:57,135,10.9,187.210,373.50,3.97,88,138,566
04/24/2017 00:03:07,150,10.9,189.870,374.79,3.97,85,140,566
04/24/2017 00:03:17,154,10.9,192.580,376.57,3.97,86,140,566
04/24/2017 00:03:27,136,10.9,195.240,376.88,3.97,87,144,566
04/24/2017 00:03:37,136,10.9,197.960,376.03,3.97,83,138,566
04/24/2017 00:03:47,141,10.9,200.720,375.76,3.97,87,140,566
04/24/2017 00:03:57,146,10.9,203.430,376.44,3.96,85,139,566
04/24/2017 00:04:07,143,10.9,205.990,375.76,3.96,86,138,566
04/24/2017 00:04:17,153,10.9,208.770,376.60,3.96,85,142,566
04/24/2017 00:04:27,156,10.9,211.380,377.15,3.96,85,140,566
04/24/2017 00:04:37,153,10.9,214.110,375.82,3.96,85,158,566
04/24/2017 00:04:47,159,10.9,216.640,376.10,3.95,80,138,566
04/24/2017 00:04:57,153,10.9,219.440,375.46,3.95,77,137,566
04/24/2017 00:05:07,153,10.9,222.050,375.01,3.95,76,137,565
04/24/2017 00:05:17,145,10.9,224.770,374.20,3.94,78,137,565
04/24/2017 00:05:27,152,10.9,227.420,374.26,3.94,77,137,565
04/24/2017 00:05:37,151,10.9,230.000,374.09,3.94,81,139,566
04/24/2017 00:05:47,134,10.9,232.780,375.06,3.93,82,146,565
04/24/2017 00:05:57,146,10.8,235.370,375.72,3.91,82,136,565
04/24/2017 00:06:07,151,10.8,238.110,375.00,3.90,88,150,565
04/24/2017 00:06:17,151,10.8,240.750,376.71,3.86,86,141,565
04/24/2017 00:06:27,138,10.8,243.530,378.64,3.86,89,146,565
04/24/2017 00:06:37,141,10.9,246.040,378.90,3.85,89,139,565
04/24/2017 00:06:47,154,10.8,248.740,379.57,3.84,85,141,565
04/24/2017 00:06:57,138,10.8,251.390,378.21,3.83,90,141,565
04/24/2017 00:07:07,139,10.8,254.110,378.76,3.83,94,142,565
04/24/2017 00:07:17,146,10.8,256.770,378.28,3.85,64,127,565
04/24/2017 00:07:27,156,10.8,259.400,375.32,3.85,64,128,565
04/24/2017 00:07:37,145,10.8,262.070,372.94,3.84,63,126,565
04/24/2017 00:07:47,154,10.8,264.650,372.21,3.85,62,126,565
04/24/2017 00:07:57,147,10.8,267.300,372.37,3.83,65,129,565
04/24/2017 00:08:07,155,10.8,269.970,373.17,3.83,66,132,565
04/24/2017 00:08:17,148,10.8,272.560,373.07,3.81,66,129,565
04/24/2017 00:08:27,136,10.8,275.210,374.39,3.81,64,128,565
04/24/2017 00:08:37,152,10.8,277.850,373.88,3.80,63,126,565
04/24/2017 00:08:47,146,10.8,280.550,373.94,3.80,62,126,565
04/24/2017 00:08:57,152,10.8,283.200,373.12,3.80,61,124,565
04/24/2017 00:09:07,147,10.8,285.840,373.55,3.78,61,125,565
04/24/2017 00:09:17,159,10.8,288.510,373.57,3.76,62,127,565
04/24/2017 00:09:27,149,10.8,291.090,374.19,3.76,62,124,565
04/24/2017 00:09:37,156,10.8,293.770,374.67,3.76,64,125,565
04/24/2017 00:09:47,151,10.8,296.480,374.04,3.76,62,126,565
04/24/2017 00:09:57,156,10.8,299.110,374.69,3.76,64,130,565
04/24/2017 00:10:07,142,10.8,301.860,375.38,3.76,63,126,565
04/24/2017 00:10:17,145,10.8,304.400,374.44,3.76,69,127,565
04/24/2017 00:10:27,164,10.8,307.120,375.15,3.74,68,128,565
04/24/2017 00:10:37,144,10.8,309.830,376.17,3.74,76,128,565
04/24/2017 00:10:47,145,10.8,312.470,377.67,3.73,85,140,564
04/24/2017 00:10:57,136,10.8,315.160,378.74,3.71,90,141,565
04/24/2017 00:11:07,144,10.8,317.690,379.98,3.70,90,136,565
04/24/2017 00:11:17,127,10.8,320.450,381.37,3.70,91,138,565
04/24/2017 00:11:27,136,10.8,323.150,382.25,3.69,88,135,565
04/24/2017 00:11:37,141,10.8,325.820,382.18,3.69,91,138,565
04/24/2017 00:11:47,137,10.8,328.380,382.49,3.68,90,138,564
04/24/2017 00:11:57,133,10.8,331.160,382.15,3.68,90,137,565
04/24/2017 00:12:07,133,10.8,333.820,382.72,3.68,87,135,565
04/24/2017 00:12:17,141,10.8,336.460,381.80,3.68,86,134,564
04/24/2017 00:12:27,146,10.8,339.180,381.52,3.68,82,130,565
04/24/2017 00:12:37,127,10.8,341.730,380.85,3.69,81,130,565
04/24/2017 00:12:47,129,10.8,344.390,381.58,3.69,80,129,565
04/24/2017 00:12:57,137,10.8,347.120,379.85,3.69,80,128,565
04/24/2017 00:13:07,130,10.8,349.860,380.16,3.69,77,137,564
04/24/2017 00:13:17,126,10.8,352.530,379.76,3.70,73,127,565
04/24/2017 00:13:27,123,10.8,355.160,379.16,3.70,74,130,564
04/24/2017 00:13:37,134,10.8,357.900,379.20,3.70,74,126,564
04/24/2017 00:13:47,143,10.8,360.480,379.21,3.70,71,127,565
04/24/2017 00:13:57,131,10.8,363.120,378.23,3.69,71,125,564
04/24/2017 00:14:07,125,10.8,365.880,377.22,3.69,69,130,565
04/24/2017 00:14:17,133,10.8,368.530,377.25,3.69,68,124,565
04/24/2017 00:14:27,132,10.8,371.130,378.12,3.69,70,125,565
04/24/2017 00:14:37,133,10.8,373.870,377.89,3.69,68,123,565
04/24/2017 00:14:47,134,10.8,376.560,377.54,3.69,67,123,564
04/24/2017 00:14:57,130,10.8,379.220,377.20,3.70,68,123,564
04/24/2017 00:15:07,146,10.8,381.930,376.88,3.69,65,124,565
04/24/2017 00:15:17,145,10.8,384.590,376.81,3.69,69,123,564
04/24/2017 00:15:27,126,10.8,387.240,376.72,3.67,70,126,565
04/24/2017 00:15:37,138,10.8,389.820,377.19,3.67,68,126,565
04/24/2017 00:15:47,135,10.8,392.540,377.13,3.67,70,125,564
04/24/2017 00:15:57,132,10.8,395.290,377.23,3.67,68,124,565
04/24/2017 00:16:07,140,10.8,397.900,377.93,3.67,67,121,564
04/24/2017 00:16:17,142,10.8,400.600,377.19,3.67,67,124,564
04/24/2017 00:16:27,160,10.8,403.310,377.71,3.67,66,125,564
04/24/2017 00:16:37,149,10.8,405.840,376.78,3.67,65,125,564
04/24/2017 00:16:47,136,10.8,408.530,377.87,3.65,67,126,565
04/24/2017 00:16:57,136,10.8,411.220,377.15,3.65,67,124,564
04/24/2017 00:17:07,127,10.8,413.820,377.28,3.65,66,124,564
04/24/2017 00:17:17,142,10.8,416.570,378.12,3.64,68,127,565
04/24/2017 00:17:27,152,10.8,419.230,377.33,3.64,66,123,565
04/24/2017 00:17:37,136,10.8,421.780,377.40,3.64,66,123,564
04/24/2017 00:17:47,132,10.8,424.580,376.76,3.64,66,123,564
04/24/2017 00:17:57,141,10.8,427.100,377.94,3.64,67,127,565
04/24/2017 00:18:07,152,10.8,429.840,377.92,3.64,65,125,565
04/24/2017 00:18:17,127,10.8,432.520,377.91,3.64,66,123,564
04/24/2017 00:18:27,131,10.8,435.010,377.21,3.64,64,123,564
04/24/2017 00:18:37,131,10.8,437.860,377.17,3.64,65,122,564
04/24/2017 00:18:47,146,10.8,440.450,377.26,3.63,66,127,565
04/24/2017 00:18:57,150,10.8,443.060,377.46,3.63,66,123,565
04/24/2017 00:19:07,146,10.8,445.780,376.89,3.63,65,123,564
04/24/2017 00:19:17,141,10.8,448.350,377.55,3.63,65,124,564
04/24/2017 00:19:27,141,10.8,450.980,377.87,3.62,67,123,565
04/24/2017 00:19:37,146,10.8,453.780,376.74,3.62,64,125,565
04/24/2017 00:19:47,133,10.8,456.290,377.31,3.62,63,122,564
04/24/2017 00:19:57,136,10.8,458.970,376.77,3.62,63,123,565
04/24/2017 00:20:07,126,10.8,461.590,377.38,3.62,63,120,565
04/24/2017 00:20:17,143,10.8,464.370,376.89,3.62,63,122,564
04/24/2017 00:20:27,142,10.8,466.950,377.13,3.62,62,123,565
04/24/2017 00:20:37,139,10.8,469.700,377.58,3.62,63,121,565
04/24/2017 00:20:47,139,10.8,472.300,376.53,3.62,62,120,564
04/24/2017 00:20:57,141,10.8,474.970,377.26,3.61,63,123,564
04/24/2017 00:21:07,140,10.8,477.680,376.80,3.61,62,122,565
04/24/2017 00:21:17,128,10.8,480.330,377.17,3.61,62,121,565
04/24/2017 00:21:27,137,10.8,483.060,376.87,3.61,63,121,564
04/24/2017 00:21:37,139,10.8,485.740,377.08,3.61,62,121,564
04/24/2017 00:21:47,127,10.8,488.360,377.33,3.61,63,126,565
04/24/2017 00:21:57,137,10.8,491.020,377.45,3.61,62,126,564
04/24/2017 00:22:07,131,10.8,493.740,377.41,3.61,63,121,564
04/24/2017 00:22:17,129,10.8,496.280,376.61,3.61,62,121,565
04/24/2017 00:22:27,130,10.8,498.930,377.31,3.61,62,121,565
04/24/2017 00:22:37,133,10.8,501.680,375.74,3.61,62,121,565
04/24/2017 00:22:47,126,10.8,504.420,375.38,3.61,60,120,565
04/24/2017 00:22:57,134,10.8,507.040,376.57,3.61,60,121,565
04/24/2017 00:23:07,148,10.8,509.590,376.22,3.61,61,120,564
04/24/2017 00:23:17,125,10.8,512.340,376.37,3.61,60,119,564
04/24/2017 00:23:27,134,10.8,514.910,375.56,3.61,60,121,565
04/24/2017 00:23:37,136,10.8,517.670,376.40,3.61,61,122,565
04/24/2017 00:23:47,141,10.8,520.360,375.98,3.61,61,120,564
04/24/2017 00:23:57,135,10.8,522.980,376.14,3.61,61,121,564
04/24/2017 00:24:07,140,10.8,525.470,376.60,3.61,61,122,564
04/24/2017 00:24:17,145,10.8,528.290,377.07,3.61,60,121,565
04/24/2017 00:24:27,127,10.8,530.940,376.01,3.61,60,120,565
04/24/2017 00:24:37,117,10.9,533.680,375.30,3.61,62,120,564
04/24/2017 00:24:47,141,10.8,536.230,375.86,3.61,61,121,564
04/24/2017 00:24:57,146,10.8,538.920,376.18,3.61,60,122,564
04/24/2017 00:25:07,138,10.8,541.540,375.80,3.61,61,121,565
04/24/2017 00:25:17,145,10.8,544.180,376.13,3.60,62,121,564
04/24/2017 00:25:27,137,10.8,546.850,376.33,3.60,59,120,564
04/24/2017 00:25:37,149,10.8,549.520,375.40,3.60,61,120,565
04/24/2017 00:25:47,138,10.8,552.180,376.63,3.60,60,121,564
04/24/2017 00:25:57,135,10.8,554.850,375.43,3.60,61,122,564
04/24/2017 00:26:07,145,10.8,557.600,375.71,3.60,60,120,565
04/24/2017 00:26:17,147,10.8,560.240,374.90,3.60,61,123,565
04/24/2017 00:26:27,124,10.8,562.920,374.97,3.60,61,121,564
04/24/2017 00:26:37,140,10.8,565.500,375.54,3.60,61,121,565
04/24/2017 00:26:47,142,10.8,568.200,376.27,3.60,62,119,564
04/24/2017 00:26:57,140,10.8,570.780,375.07,3.60,61,124,564
04/24/2017 00:27:07,133,10.8,573.440,375.99,3.60,61,120,564
04/24/2017 00:27:17,141,10.8,576.270,375.79,3.60,60,120,564
04/24/2017 00:27:27,133,10.8,578.760,375.74,3.60,62,119,564
04/24/2017 00:27:37,131,10.9,581.460,375.37,3.59,60,127,564
04/24/2017 00:27:47,130,10.8,584.110,374.46,3.59,61,120,564
04/24/2017 00:27:57,128,10.8,586.780,374.29,3.59,58,118,565
04/24/2017 00:28:07,137,10.8,589.460,374.27,3.59,61,121,565
04/24/2017 00:28:17,142,10.8,592.130,373.71,3.59,60,121,564
04/24/2017 00:28:27,134,10.8,594.810,374.87,3.59,61,120,565
04/24/2017 00:28:37,147,10.8,597.340,374.23,3.59,61,119,565
04/24/2017 00:28:47,134,10.8,600.130,374.41,3.59,59,120,565
04/24/2017 00:28:57,145,10.8,602.730,374.56,3.59,61,120,564
04/24/2017 00:29:07,127,10.9,605.440,375.19,3.59,60,118,564
04/24/2017 00:29:17,145,10.8,608.100,374.59,3.59,61,119,564
04/24/2017 00:29:27,149,10.8,610.780,373.72,3.59,61,122,564
04/24/2017 00:29:37,130,10.8,613.390,374.61,3.59,60,122,565
04/24/2017 00:29:47,130,10.9,615.970,374.60,3.59,60,121,565
04/24/2017 00:29:57,142,10.8,618.730,374.35,3.59,61,119,564
04/24/2017 00:30:07,137,10.8,621.370,374.12,3.59,62,120,565
04/24/2017 00:30:17,147,10.8,623.900,373.34,3.59,60,119,564
04/24/2017 00:30:27,136,10.8,626.590,373.50,3.59,59,121,565
04/24/2017 00:30:37,137,10.8,629.350,373.57,3.59,60,118,564
04/24/2017 00:30:47,131,10.8,631.990,373.90,3.59,62,121,565
04/24/2017 00:30:57,144,10.8,634.620,373.94,3.59,59,121,565
04/24/2017 00:31:07,142,10.8,637.210,374.09,3.59,61,119,565
04/24/2017 00:31:17,139,10.8,639.950,373.04,3.59,60,121,565
04/24/2017 00:31:27,127,10.9,642.620,373.32,3.59,60,119,564
04/24/2017 00:31:37,143,10.8,645.180,374.31,3.59,61,119,565
04/24/2017 00:31:47,146,10.8,647.780,372.75,3.58,60,118,565
04/24/2017 00:31:57,143,10.8,650.610,373.22,3.58,61,119,565
04/24/2017 00:32:07,134,10.8,653.250,373.46,3.58,60,120,565
04/24/2017 00:32:17,139,10.8,655.930,373.57,3.58,58,118,564
04/24/2017 00:32:27,140,10.8,658.500,373.36,3.58,60,120,564
04/24/2017 00:32:37,144,10.8,661.150,372.67,3.58,59,120,564
04/24/2017 00:32:47,132,10.8,663.650,373.41,3.58,60,121,564
04/24/2017 00:32:57,131,10.8,666.330,373.44,3.58,62,128,564
04/24/2017 00:33:07,146,10.8,669.160,372.97,3.57,59,120,564
04/24/2017 00:33:17,140,10.8,671.740,372.14,3.58,60,120,564
04/24/2017 00:33:27,144,10.8,674.390,373.04,3.58,59,119,564
04/24/2017 00:33:37,131,10.8,677.040,372.19,3.58,60,121,564
04/24/2017 00:33:47,132,10.9,679.610,372.78,3.58,59,121,564
04/24/2017 00:33:57,144,10.8,682.300,372.09,3.58,59,118,565
04/24/2017 00:34:07,140,10.8,684.930,372.73,3.57,59,121,564
04/24/2017 00:34:17,163,10.8,687.580,372.62,3.57,59,119,564
04/24/2017 00:34:27,137,10.8,690.210,372.37,3.57,59,119,565
04/24/2017 00:34:37,132,10.9,692.970,372.77,3.57,59,121,564
04/24/2017 00:34:47,132,10.9,695.580,372.89,3.57,59,120,564
04/24/2017 00:34:57,141,10.8,698.220,372.58,3.56,59,118,565
04/24/2017 00:35:07,135,10.8,700.860,372.84,3.56,58,119,564
04/24/2017 00:35:17,136,10.8,703.600,373.04,3.56,58,120,564
04/24/2017 00:35:27,134,10.8,706.130,372.55,3.56,56,119,565
04/24/2017 00:35:37,139,10.8,708.830,372.30,3.55,58,119,564
04/24/2017 00:35:47,144,10.8,711.360,372.20,3.55,58,117,564
