

 Profile 329

mmho/cm,Celsius,dbars,hz

32.2551,2.5275,2526.440, 0
32.2551,2.5277,2526.260, 0
32.2550,2.5274,2526.350, 0
32.2551,2.5274,2526.290, 0
32.2553,2.5274,2526.320, 0
32.2549,2.5274,2526.270, 0
32.2548,2.5275,2526.280, 0
32.2549,2.5277,2526.340, 0
32.2551,2.5274,2526.260, 0
32.2551,2.5273,2526.360, 0
32.2550,2.5272,2526.260, 0
32.2551,2.5274,2526.320, 0
32.2551,2.5274,2526.360, 0
32.2551,2.5274,2526.220, 0
32.2549,2.5276,2526.340, 0
32.2551,2.5276,2526.340, 0
32.2551,2.5274,2526.230, 0
32.2551,2.5276,2526.290, 0
32.2551,2.5273,2526.370, 0
32.2551,2.5275,2526.170, 0
32.2551,2.5276,2526.220, 0
32.2553,2.5274,2526.250, 0
32.2551,2.5274,2526.270, 0
32.2550,2.5274,2526.330, 0
32.2551,2.5274,2526.260, 0
32.2549,2.5274,2526.370, 0
32.2553,2.5274,2526.330, 0
32.2552,2.5274,2526.250, 0
32.2549,2.5275,2526.320, 0
32.2549,2.5275,2526.290, 0
32.2551,2.5277,2526.220, 0
32.2550,2.5274,2526.280, 0
32.2549,2.5275,2526.390, 0
32.2551,2.5275,2526.160, 0
32.2553,2.5274,2526.290, 0
32.2552,2.5272,2526.350, 0
32.2549,2.5277,2526.230, 0
32.2551,2.5276,2526.210, 0
32.2551,2.5276,2526.340, 0
32.2551,2.5274,2526.280, 0
32.2551,2.5272,2526.270, 0
32.2551,2.5276,2526.310, 0
32.2551,2.5271,2526.310, 0
32.2551,2.5273,2526.220, 0
32.2548,2.5274,2526.220, 0
32.2549,2.5273,2526.380, 0
32.2549,2.5274,2526.280, 0
32.2549,2.5274,2526.190, 0
32.2552,2.5275,2526.200, 0
32.2551,2.5275,2526.290, 0
32.2551,2.5274,2526.300, 0
32.2549,2.5273,2526.270, 0
32.2548,2.5272,2526.210, 0
32.2551,2.5275,2526.310, 0
32.2551,2.5275,2526.280, 0
32.2549,2.5275,2526.230, 0
32.2550,2.5275,2526.220, 0
32.2549,2.5276,2526.340, 0
32.2551,2.5276,2526.250, 0
32.2551,2.5275,2526.220, 0
32.2551,2.5275,2526.320, 0
32.2551,2.5278,2526.350, 0
32.2551,2.5272,2526.140, 0
32.2551,2.5274,2526.240, 0
32.2549,2.5275,2526.280, 0
32.2550,2.5274,2526.270, 0
32.2551,2.5275,2526.220, 0
32.2549,2.5273,2526.300, 0
32.2551,2.5273,2526.210, 0
32.2550,2.5275,2526.180, 0
32.2551,2.5274,2526.300, 0
32.2549,2.5275,2526.330, 0
32.2549,2.5276,2526.230, 0
32.2550,2.5274,2526.170, 0
32.2549,2.5275,2526.300, 0
32.2551,2.5273,2526.260, 0
32.2549,2.5274,2526.160, 0
32.2550,2.5274,2526.230, 0
32.2551,2.5276,2526.270, 0
32.2551,2.5274,2526.170, 0
32.2551,2.5275,2526.230, 0
32.2552,2.5277,2526.370, 0
32.2551,2.5275,2526.220, 0
32.2551,2.5275,2526.260, 0
32.2551,2.5275,2526.340, 0
32.2551,2.5275,2526.240, 0
32.2549,2.5274,2526.120, 0
32.2551,2.5277,2526.350, 0
32.2551,2.5274,2526.250, 0
32.2551,2.5275,2526.170, 0
32.2552,2.5272,2526.290, 0
32.2549,2.5274,2526.270, 0
32.2551,2.5275,2526.160, 0
32.2549,2.5274,2526.250, 0
32.2550,2.5273,2526.300, 0
32.2551,2.5275,2526.190, 0
32.2549,2.5275,2526.170, 0
32.2551,2.5275,2526.310, 0
32.2550,2.5277,2526.190, 0
32.2551,2.5275,2526.210, 0
32.2551,2.5277,2526.300, 0
32.2549,2.5274,2526.170, 0
32.2550,2.5276,2526.160, 0
32.2551,2.5276,2526.260, 0
32.2553,2.5276,2526.230, 0
32.2551,2.5273,2526.140, 0
32.2551,2.5276,2526.310, 0
32.2551,2.5277,2526.190, 0
32.2551,2.5273,2526.200, 0
32.2551,2.5278,2526.310, 0
32.2551,2.5275,2526.230, 0
32.2550,2.5273,2526.120, 0
32.2549,2.5274,2526.280, 0
32.2551,2.5274,2526.240, 0
32.2551,2.5275,2526.260, 0
32.2550,2.5273,2526.300, 0
32.2551,2.5279,2526.230, 0
32.2551,2.5274,2526.190, 0
32.2549,2.5272,2526.250, 0
32.2550,2.5275,2526.140, 0
32.2551,2.5277,2526.070, 0
32.2551,2.5276,2526.160, 0
32.2553,2.5278,2525.910, 0
32.2550,2.5278,2525.630, 0
32.2551,2.5276,2525.660, 0
32.2553,2.5281,2525.480, 0
32.2553,2.5279,2525.070, 0
32.2548,2.5279,2524.960, 0
32.2545,2.5278,2524.880, 0
32.2547,2.5280,2524.580, 0
32.2541,2.5279,2524.370, 0
32.2537,2.5275,2524.330, 0
32.2537,2.5280,2523.960, 0
32.2539,2.5282,2523.570, 0
32.2549,2.5293,2523.430, 0
32.2558,2.5306,2523.270, 0
32.2566,2.5319,2522.880, 0
32.2562,2.5315,2522.640, 0
32.2570,2.5321,2522.500, 0
32.2570,2.5327,2522.290, 0
32.2572,2.5331,2521.930, 0
32.2574,2.5332,2521.580, 0
32.2578,2.5340,2521.350, 0
32.2602,2.5368,2521.130, 0
32.2621,2.5393,2520.840, 0
32.2650,2.5426,2520.530, 0
32.2681,2.5458,2520.140, 0
32.2701,2.5489,2520.010, 0
32.2713,2.5503,2519.630, 0
32.2729,2.5520,2519.420, 0
32.2737,2.5534,2519.050, 0
32.2745,2.5539,2518.880, 0
32.2747,2.5543,2518.580, 0
32.2749,2.5547,2518.200, 0
32.2749,2.5546,2518.040, 0
32.2757,2.5553,2517.700, 0
32.2760,2.5557,2517.420, 0
32.2765,2.5568,2517.230, 0
32.2779,2.5581,2516.770, 0
32.2786,2.5591,2516.650, 0
32.2790,2.5596,2516.280, 0
32.2798,2.5603,2516.000, 0
32.2804,2.5612,2515.850, 0
32.2806,2.5617,2515.450, 0
32.2812,2.5623,2515.190, 0
32.2818,2.5628,2514.960, 0
32.2822,2.5634,2514.680, 0
32.2831,2.5649,2514.320, 0
32.2850,2.5667,2514.150, 0
32.2866,2.5686,2513.770, 0
32.2870,2.5693,2513.440, 0
32.2872,2.5697,2513.330, 0
32.2878,2.5705,2512.940, 0
32.2890,2.5713,2512.650, 0
32.2909,2.5735,2512.470, 0
32.2925,2.5754,2512.140, 0
32.2933,2.5769,2511.820, 0
32.2941,2.5773,2511.580, 0
32.2939,2.5777,2511.280, 0
32.2943,2.5779,2510.950, 0
32.2945,2.5784,2510.750, 0
32.2947,2.5786,2510.380, 0
32.2949,2.5789,2510.110, 0
32.2951,2.5791,2509.930, 0
32.2951,2.5794,2509.530, 0
32.2953,2.5799,2509.280, 0
32.2955,2.5798,2509.050, 0
32.2957,2.5802,2508.720, 0
32.2957,2.5805,2508.450, 0
32.2965,2.5813,2508.290, 0
32.2967,2.5815,2507.990, 0
32.2973,2.5823,2507.530, 0
32.2975,2.5828,2507.310, 0
32.2981,2.5837,2507.110, 0
32.2985,2.5846,2506.790, 0
32.2989,2.5849,2506.450, 0
32.3000,2.5863,2506.140, 0
32.3013,2.5880,2506.030, 0
32.3024,2.5896,2505.640, 0
32.3034,2.5912,2505.330, 0
32.3046,2.5928,2505.120, 0
32.3054,2.5936,2504.880, 0
32.3058,2.5942,2504.460, 0
32.3063,2.5946,2504.260, 0
32.3072,2.5961,2504.080, 0
32.3078,2.5967,2503.710, 0
32.3082,2.5973,2503.370, 0
32.3088,2.5978,2503.140, 0
32.3096,2.5986,2502.890, 0
32.3100,2.5998,2502.550, 0
32.3102,2.6002,2502.200, 0
32.3104,2.6003,2502.050, 0
32.3108,2.6008,2501.860, 0
32.3114,2.6016,2501.380, 0
32.3128,2.6031,2501.070, 0
