
 Profile 350

 Sensors were turned on at  04/29/2017 00:00:02
 Vehicle began profiling at 04/29/2017 00:02:04

Date,[mA],[V],[dbar],Oxygen[uM],Optode Temp[C],Chl,NTU,Therm
04/29/2017 00:02:04,0,11.1,0.000,0.00,0.00,75,135,567
04/29/2017 00:02:14,220,10.6,0.000,0.00,0.00,72,136,567
04/29/2017 00:02:24,266,10.7,0.000,0.00,0.00,72,135,567
04/29/2017 00:02:37,325,10.7,237.470,379.20,3.84,71,133,567
04/29/2017 00:02:47,234,10.8,240.060,379.18,3.83,72,134,566
04/29/2017 00:02:57,224,10.9,242.580,378.70,3.83,70,133,566
04/29/2017 00:03:07,199,10.9,245.100,378.18,3.83,68,131,566
04/29/2017 00:03:17,185,10.9,247.650,377.53,3.84,63,128,566
04/29/2017 00:03:27,237,10.9,250.190,375.34,3.85,62,125,566
04/29/2017 00:03:37,209,10.9,252.700,374.75,3.85,62,125,566
04/29/2017 00:03:47,262,10.9,255.280,374.07,3.85,60,128,566
04/29/2017 00:03:57,240,10.9,257.780,373.83,3.85,61,125,566
04/29/2017 00:04:07,201,10.9,260.330,375.12,3.85,61,124,566
04/29/2017 00:04:17,215,10.9,262.950,373.67,3.84,61,124,566
04/29/2017 00:04:27,192,10.9,265.340,372.95,3.83,60,127,566
04/29/2017 00:04:37,195,10.9,267.930,373.01,3.83,59,124,566
04/29/2017 00:04:47,205,10.9,270.560,372.22,3.82,58,124,566
04/29/2017 00:04:57,258,10.8,273.070,373.44,3.82,58,123,566
04/29/2017 00:05:07,239,10.8,275.460,373.47,3.82,59,122,566
04/29/2017 00:05:17,247,10.9,278.020,372.79,3.80,60,126,565
04/29/2017 00:05:27,214,10.9,280.510,372.40,3.80,59,122,566
04/29/2017 00:05:37,224,10.8,283.100,372.66,3.80,58,122,566
04/29/2017 00:05:47,220,10.9,285.680,371.91,3.79,58,123,566
04/29/2017 00:05:57,219,10.9,288.290,372.08,3.79,57,122,566
04/29/2017 00:06:07,211,10.9,290.710,372.36,3.79,57,121,565
04/29/2017 00:06:17,212,10.9,293.260,371.93,3.78,59,123,565
04/29/2017 00:06:27,213,10.9,295.840,371.58,3.78,57,122,565
04/29/2017 00:06:37,222,10.9,298.250,372.11,3.78,55,123,565
04/29/2017 00:06:47,235,10.8,300.780,370.72,3.77,57,122,565
04/29/2017 00:06:57,201,10.8,303.300,371.22,3.77,56,122,565
04/29/2017 00:07:07,207,10.8,305.870,372.07,3.77,54,121,565
04/29/2017 00:07:17,246,10.8,308.440,371.67,3.76,56,122,565
04/29/2017 00:07:27,222,10.8,310.950,370.69,3.75,56,122,565
04/29/2017 00:07:37,218,10.8,313.500,369.37,3.75,57,122,565
04/29/2017 00:07:47,222,10.8,316.110,370.62,3.74,57,123,565
04/29/2017 00:07:57,216,10.9,318.630,370.01,3.74,55,119,565
04/29/2017 00:08:07,198,10.8,321.070,370.06,3.74,55,119,565
04/29/2017 00:08:17,223,10.8,323.620,369.53,3.74,54,121,565
04/29/2017 00:08:27,255,10.8,326.160,370.17,3.74,55,120,565
04/29/2017 00:08:37,195,10.8,328.650,369.36,3.74,54,119,565
04/29/2017 00:08:47,262,10.8,331.180,369.20,3.74,54,122,565
04/29/2017 00:08:57,219,10.8,333.780,369.77,3.73,53,120,565
04/29/2017 00:09:07,224,10.8,336.280,369.52,3.73,55,121,565
04/29/2017 00:09:17,220,10.8,338.710,370.33,3.73,55,121,565
04/29/2017 00:09:27,242,10.8,341.130,369.61,3.73,55,119,565
04/29/2017 00:09:37,238,10.8,343.640,369.65,3.73,56,118,565
04/29/2017 00:09:47,230,10.8,346.220,368.86,3.73,55,121,565
04/29/2017 00:09:57,251,10.8,348.660,368.16,3.72,55,117,565
04/29/2017 00:10:07,226,10.8,351.170,368.35,3.72,55,120,565
04/29/2017 00:10:17,228,10.8,353.620,369.37,3.72,56,119,565
04/29/2017 00:10:27,244,10.8,356.250,369.15,3.72,55,126,565
04/29/2017 00:10:37,233,10.8,358.630,369.59,3.72,54,123,565
04/29/2017 00:10:47,248,10.8,361.160,369.01,3.72,55,120,565
04/29/2017 00:10:57,220,10.8,363.660,368.97,3.72,56,120,565
04/29/2017 00:11:07,227,10.7,366.070,368.99,3.72,53,120,565
04/29/2017 00:11:17,234,10.8,368.660,369.16,3.71,55,118,565
04/29/2017 00:11:27,225,10.7,371.030,368.27,3.71,54,119,565
04/29/2017 00:11:37,195,10.8,373.570,367.57,3.71,55,120,565
04/29/2017 00:11:47,230,10.7,376.080,368.66,3.71,54,119,565
04/29/2017 00:11:57,255,10.7,378.460,369.07,3.71,54,120,565
04/29/2017 00:12:07,224,10.7,381.060,368.91,3.70,59,121,565
04/29/2017 00:12:17,214,10.7,383.460,369.53,3.69,56,121,565
04/29/2017 00:12:27,256,10.7,385.970,369.62,3.69,55,118,565
04/29/2017 00:12:37,236,10.7,388.400,369.12,3.69,55,119,565
04/29/2017 00:12:47,211,10.7,390.840,368.51,3.69,54,118,565
04/29/2017 00:12:57,217,10.7,393.430,369.48,3.69,54,120,565
04/29/2017 00:13:07,262,10.7,395.870,368.64,3.68,55,119,565
04/29/2017 00:13:17,236,10.7,398.280,369.04,3.68,56,120,565
04/29/2017 00:13:27,241,10.7,400.770,370.08,3.67,56,119,565
04/29/2017 00:13:37,226,10.7,403.300,369.69,3.67,54,119,565
04/29/2017 00:13:47,207,10.7,405.780,368.94,3.67,54,121,565
04/29/2017 00:13:57,242,10.6,408.120,369.83,3.67,55,119,565
04/29/2017 00:14:07,259,10.7,410.600,369.63,3.67,55,118,565
04/29/2017 00:14:17,235,10.7,413.080,369.32,3.67,54,120,565
04/29/2017 00:14:27,233,10.7,415.470,370.48,3.67,55,121,565
04/29/2017 00:14:37,240,10.7,417.890,371.02,3.67,54,120,565
04/29/2017 00:14:47,240,10.7,420.340,369.50,3.67,55,119,565
04/29/2017 00:14:57,236,10.7,422.830,369.75,3.67,54,120,565
04/29/2017 00:15:07,241,10.7,425.200,369.82,3.67,55,118,565
04/29/2017 00:15:17,232,10.6,427.760,368.92,3.67,56,119,565
04/29/2017 00:15:27,251,10.6,430.130,369.68,3.66,55,120,565
04/29/2017 00:15:37,230,10.6,432.490,369.00,3.66,53,119,565
04/29/2017 00:15:47,215,10.6,434.930,369.96,3.66,54,120,565
04/29/2017 00:15:57,256,10.6,437.430,369.93,3.66,53,120,565
04/29/2017 00:16:07,217,10.6,439.850,369.79,3.66,53,118,565
04/29/2017 00:16:17,240,10.6,442.310,370.25,3.66,56,119,565
04/29/2017 00:16:27,218,10.6,444.720,368.97,3.65,55,120,565
04/29/2017 00:16:37,237,10.6,447.270,369.60,3.65,54,117,565
04/29/2017 00:16:47,248,10.6,449.580,369.49,3.64,57,123,565
04/29/2017 00:16:57,246,10.6,452.050,369.85,3.64,57,120,565
04/29/2017 00:17:07,236,10.6,454.540,371.47,3.62,64,123,565
