

 Profile 328

mmho/cm,Celsius,dbars,hz

32.0640,3.4669,178.910, 0
32.0643,3.4669,178.850, 0
32.0637,3.4669,178.850, 0
32.0637,3.4668,178.940, 0
32.0639,3.4664,178.820, 0
32.0641,3.4666,178.900, 0
32.0640,3.4667,178.860, 0
32.0634,3.4664,178.870, 0
32.0638,3.4663,178.940, 0
32.0671,3.4690,178.800, 0
32.0683,3.4714,178.910, 0
32.0652,3.4694,178.810, 0
32.0672,3.4700,178.910, 0
32.0654,3.4686,178.890, 0
32.0664,3.4697,178.820, 0
32.0656,3.4686,179.000, 0
32.0668,3.4688,178.820, 0
32.0684,3.4713,178.930, 0
32.0678,3.4714,178.880, 0
32.0670,3.4703,178.820, 0
32.0670,3.4695,178.910, 0
32.0664,3.4689,178.790, 0
32.0664,3.4692,178.890, 0
32.0665,3.4698,178.920, 0
32.0663,3.4687,178.820, 0
32.0661,3.4688,178.930, 0
32.0661,3.4691,178.910, 0
32.0657,3.4685,178.840, 0
32.0676,3.4703,178.900, 0
32.0668,3.4703,178.860, 0
32.0680,3.4707,178.860, 0
32.0702,3.4735,178.930, 0
32.0690,3.4729,178.860, 0
32.0688,3.4718,178.770, 0
32.0686,3.4716,178.950, 0
32.0688,3.4720,178.880, 0
32.0702,3.4728,178.780, 0
32.0674,3.4709,178.940, 0
32.0670,3.4699,178.930, 0
32.0660,3.4686,178.820, 0
32.0663,3.4691,178.820, 0
32.0663,3.4689,178.900, 0
32.0659,3.4689,178.920, 0
32.0657,3.4684,178.850, 0
32.0666,3.4693,178.810, 0
32.0670,3.4696,178.930, 0
32.0670,3.4700,178.820, 0
32.0668,3.4699,178.780, 0
32.0668,3.4698,178.980, 0
32.0660,3.4690,178.920, 0
32.0672,3.4700,178.810, 0
32.0684,3.4711,178.830, 0
32.0688,3.4720,178.900, 0
32.0698,3.4729,178.840, 0
32.0706,3.4739,178.820, 0
32.0710,3.4738,178.850, 0
32.0710,3.4743,178.910, 0
32.0691,3.4728,178.900, 0
32.0681,3.4707,178.750, 0
32.0681,3.4710,178.840, 0
32.0669,3.4703,178.890, 0
32.0658,3.4685,178.910, 0
32.0704,3.4728,178.780, 0
32.0688,3.4722,178.870, 0
32.0672,3.4706,178.920, 0
32.0672,3.4699,178.850, 0
32.0676,3.4706,178.830, 0
32.0676,3.4707,178.940, 0
32.0672,3.4701,178.910, 0
32.0674,3.4703,178.800, 0
32.0664,3.4700,178.770, 0
32.0649,3.4676,178.900, 0
32.0645,3.4667,178.900, 0
32.0651,3.4675,178.810, 0
32.0673,3.4696,178.800, 0
32.0673,3.4703,178.870, 0
32.0673,3.4704,178.910, 0
32.0675,3.4704,178.800, 0
32.0662,3.4700,178.880, 0
32.0658,3.4685,178.940, 0
32.0651,3.4680,178.820, 0
32.0643,3.4669,178.800, 0
32.0641,3.4664,178.930, 0
32.0635,3.4664,178.900, 0
32.0633,3.4660,178.810, 0
32.0631,3.4656,178.920, 0
32.0627,3.4658,178.920, 0
32.0625,3.4652,178.830, 0
32.0625,3.4653,178.840, 0
32.0627,3.4655,178.860, 0
32.0627,3.4652,178.910, 0
32.0626,3.4651,178.870, 0
32.0642,3.4666,178.780, 0
32.0646,3.4673,178.810, 0
32.0646,3.4675,178.910, 0
32.0646,3.4678,178.900, 0
32.0623,3.4653,178.810, 0
32.0631,3.4657,178.830, 0
32.0629,3.4657,178.940, 0
32.0621,3.4652,178.950, 0
32.0621,3.4650,178.840, 0
32.0615,3.4644,178.830, 0
32.0617,3.4645,178.900, 0
32.0619,3.4649,178.870, 0
32.0621,3.4647,178.810, 0
32.0629,3.4655,178.840, 0
32.0633,3.4662,178.910, 0
32.0631,3.4660,178.870, 0
32.0631,3.4660,178.760, 0
32.0630,3.4657,178.830, 0
32.0632,3.4658,178.920, 0
32.0632,3.4661,178.910, 0
32.0636,3.4664,178.770, 0
32.0634,3.4660,178.840, 0
32.0641,3.4667,178.880, 0
32.0629,3.4657,178.910, 0
32.0625,3.4655,178.830, 0
32.0629,3.4655,178.800, 0
32.0623,3.4652,178.810, 0
32.0623,3.4652,178.920, 0
32.0627,3.4654,178.920, 0
32.0621,3.4649,178.920, 0
32.0617,3.4639,178.950, 0
32.0617,3.4647,179.140, 0
32.0619,3.4646,179.300, 0
32.0619,3.4645,179.360, 0
32.0623,3.4646,179.440, 0
32.0621,3.4647,179.550, 0
32.0622,3.4646,179.830, 0
32.0622,3.4648,179.990, 0
32.0622,3.4646,180.190, 0
32.0626,3.4648,180.290, 0
32.0628,3.4652,180.460, 0
32.0631,3.4645,180.760, 0
32.0625,3.4649,181.010, 0
32.0619,3.4639,181.270, 0
32.0623,3.4635,181.440, 0
32.0625,3.4639,181.570, 0
32.0627,3.4640,181.860, 0
32.0625,3.4640,182.180, 0
32.0627,3.4639,182.410, 0
32.0629,3.4638,182.630, 0
32.0631,3.4640,182.850, 0
32.0635,3.4643,183.150, 0
32.0635,3.4642,183.500, 0
32.0639,3.4644,183.720, 0
32.0639,3.4642,183.890, 0
32.0641,3.4643,184.150, 0
32.0645,3.4641,184.520, 0
32.0641,3.4642,184.820, 0
32.0647,3.4643,185.100, 0
32.0647,3.4647,185.310, 0
32.0645,3.4639,185.510, 0
32.0645,3.4641,185.860, 0
32.0643,3.4635,186.150, 0
32.0651,3.4640,186.370, 0
32.0647,3.4640,186.620, 0
32.0647,3.4635,186.850, 0
32.0645,3.4636,187.160, 0
32.0647,3.4639,187.510, 0
32.0649,3.4638,187.720, 0
32.0651,3.4635,187.910, 0
32.0651,3.4636,188.180, 0
32.0653,3.4636,188.500, 0
32.0653,3.4636,188.830, 0
32.0655,3.4633,189.110, 0
32.0655,3.4635,189.300, 0
32.0659,3.4634,189.520, 0
32.0659,3.4639,189.890, 0
32.0661,3.4634,190.190, 0
32.0663,3.4636,190.430, 0
32.0663,3.4639,190.640, 0
32.0665,3.4636,190.820, 0
32.0665,3.4638,191.160, 0
32.0667,3.4638,191.510, 0
32.0665,3.4637,191.700, 0
32.0655,3.4621,191.930, 0
32.0657,3.4622,192.230, 0
32.0661,3.4626,192.550, 0
32.0653,3.4618,192.870, 0
32.0651,3.4613,193.100, 0
32.0655,3.4613,193.240, 0
32.0655,3.4612,193.570, 0
32.0659,3.4617,193.910, 0
