
 Profile 320

 Sensors were turned on at  04/04/2017 00:00:02
 Vehicle began profiling at 04/04/2017 00:02:04

Date,[mA],[V],[dbar],Oxygen[uM],Optode Temp[C],Chl,NTU,Therm
04/04/2017 00:02:04,0,11.0,0.000,0.00,0.00,99,129,567
04/04/2017 00:02:14,218,10.8,0.000,0.00,0.00,97,129,567
04/04/2017 00:02:24,154,10.9,0.000,0.00,0.00,94,129,567
04/04/2017 00:02:37,279,10.7,199.210,380.86,3.85,96,129,567
04/04/2017 00:02:48,160,10.9,202.080,380.76,3.86,94,129,566
04/04/2017 00:02:58,43,11.1,204.850,380.25,3.85,94,129,567
04/04/2017 00:03:08,232,10.8,207.620,380.55,3.85,90,129,566
04/04/2017 00:03:18,124,10.9,210.120,381.20,3.84,89,128,566
04/04/2017 00:03:28,80,11.0,212.920,381.10,3.84,93,130,566
04/04/2017 00:03:38,142,10.9,215.720,381.38,3.84,89,126,566
04/04/2017 00:03:48,133,10.9,218.290,380.27,3.84,91,127,566
04/04/2017 00:03:58,105,11.0,221.060,380.72,3.84,94,130,566
04/04/2017 00:04:08,193,10.8,223.860,380.27,3.84,90,126,566
04/04/2017 00:04:18,93,11.0,226.540,380.71,3.84,92,127,566
04/04/2017 00:04:28,134,10.9,229.350,380.07,3.84,89,130,566
04/04/2017 00:04:38,124,10.9,231.810,379.99,3.84,89,127,566
04/04/2017 00:04:48,58,11.0,234.740,380.59,3.84,92,129,566
04/04/2017 00:04:58,207,10.8,237.470,380.58,3.84,89,127,566
04/04/2017 00:05:08,86,11.0,239.920,380.23,3.84,92,127,566
04/04/2017 00:05:18,126,10.9,242.790,380.90,3.85,91,128,566
04/04/2017 00:05:28,164,10.8,245.450,380.69,3.85,92,129,566
04/04/2017 00:05:38,120,10.9,248.130,380.56,3.85,92,127,566
04/04/2017 00:05:48,135,10.9,250.940,380.76,3.85,92,128,565
04/04/2017 00:05:58,123,10.9,253.680,380.20,3.84,92,127,565
04/04/2017 00:06:08,141,10.9,256.240,380.09,3.84,89,138,565
04/04/2017 00:06:18,143,10.9,258.980,380.68,3.84,89,124,565
04/04/2017 00:06:28,110,10.9,261.640,380.15,3.84,90,127,565
04/04/2017 00:06:38,93,10.9,264.530,380.08,3.84,89,127,565
04/04/2017 00:06:48,134,10.9,267.200,379.44,3.84,89,130,565
04/04/2017 00:06:58,122,10.9,269.920,379.02,3.84,88,128,565
04/04/2017 00:07:08,140,10.9,272.590,380.31,3.83,89,128,565
04/04/2017 00:07:18,89,10.9,275.290,379.82,3.83,90,128,565
04/04/2017 00:07:28,132,10.8,277.980,380.18,3.83,89,128,565
04/04/2017 00:07:38,139,10.9,280.560,380.07,3.83,88,129,565
04/04/2017 00:07:48,115,10.9,283.360,380.39,3.83,86,131,565
04/04/2017 00:07:58,92,10.9,286.100,379.26,3.83,87,127,565
04/04/2017 00:08:08,162,10.8,288.900,379.65,3.82,80,125,565
04/04/2017 00:08:18,145,10.8,291.450,379.22,3.82,82,128,565
04/04/2017 00:08:28,96,10.9,294.140,379.38,3.81,83,124,565
